#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 400
# Band-Index    1
   0.01913    -13.831545    -13.831545
   0.03826    -13.830234    -13.830234
   0.05739    -13.835293    -13.835293
   0.07651    -13.853158    -13.853157
   0.09564    -13.870409    -13.870408
   0.11477    -13.887022    -13.887022
   0.13390    -13.903127    -13.903126
   0.15303    -13.923224    -13.923224
   0.17216    -13.967106    -13.967106
   0.19129    -13.990649    -13.990649
   0.21042    -13.980796    -13.980796
   0.22954    -13.972343    -13.972343
   0.22954    -13.972343    -13.972343
   0.24059    -13.972186    -13.972186
   0.25163    -13.971717    -13.971717
   0.26267    -13.970936    -13.970935
   0.27371    -13.969843    -13.969843
   0.28476    -13.968441    -13.968441
   0.29580    -13.966732    -13.966732
   0.30684    -13.964722    -13.964722
   0.31788    -13.974467    -13.974467
   0.32892    -14.000685    -14.000685
   0.33997    -14.027014    -14.027014
   0.35101    -14.053404    -14.053404
   0.36205    -14.071501    -14.071501
   0.36205    -14.071501    -14.071501
   0.38414    -14.033195    -14.033195
   0.40622    -13.991266    -13.991266
   0.42831    -13.986822    -13.986821
   0.45040    -13.997620    -13.997620
   0.47249    -13.998441    -13.998440
   0.49458    -13.978261    -13.978261
   0.51666    -13.956687    -13.956687
   0.53875    -13.933812    -13.933812
   0.56084    -13.909739    -13.909739
   0.58293    -13.884579    -13.884579
   0.60501    -13.858464    -13.858463
   0.62710    -13.832073    -13.832072
 
# Band-Index   12
   0.62710    -13.830948    -13.830948
   0.60501    -13.804519    -13.804519
   0.58293    -13.818332    -13.818332
   0.56084    -13.836220    -13.836220
   0.53875    -13.853146    -13.853146
   0.51666    -13.869083    -13.869083
   0.49458    -13.884019    -13.884019
   0.47249    -13.898014    -13.898014
   0.45040    -13.912600    -13.912600
   0.42831    -13.949151    -13.949151
   0.40622    -13.991064    -13.991064
   0.38414    -14.033003    -14.033003
   0.36205    -14.070835    -14.070835
   0.36205    -14.070835    -14.070835
   0.35101    -14.044895    -14.044894
   0.33997    -14.018436    -14.018436
   0.32892    -13.992009    -13.992009
   0.31788    -13.965644    -13.965644
   0.30684    -13.959007    -13.959006
   0.29580    -13.961049    -13.961048
   0.28476    -13.962780    -13.962779
   0.27371    -13.964198    -13.964197
   0.26267    -13.965302    -13.965301
   0.25163    -13.966090    -13.966090
   0.24059    -13.966564    -13.966564
   0.22954    -13.966722    -13.966722
   0.22954    -13.966722    -13.966722
   0.21042    -13.957379    -13.957378
   0.19129    -13.944839    -13.944838
   0.17216    -13.931190    -13.931189
   0.15303    -13.914201    -13.914200
   0.13390    -13.873378    -13.873378
   0.11477    -13.828874    -13.828874
   0.09564    -13.823957    -13.823957
   0.07651    -13.825570    -13.825570
   0.05739    -13.828137    -13.828137
   0.03826    -13.829499    -13.829498
   0.01913    -13.830822    -13.830821
   0.00000    -13.830948    -13.830948
 
# Band-Index   13
   0.00000    -13.830930    -13.830930
   0.01913    -13.798030    -13.798029
   0.03826    -13.816807    -13.816807
   0.05739    -13.827315    -13.827315
   0.07651    -13.824652    -13.824652
   0.09564    -13.822813    -13.822812
   0.11477    -13.825978    -13.825978
   0.13390    -13.829670    -13.829670
   0.15303    -13.833141    -13.833140
   0.17216    -13.835959    -13.835959
   0.19129    -13.838011    -13.838011
   0.21042    -13.839253    -13.839252
   0.22954    -13.839669    -13.839668
   0.22954    -13.839669    -13.839668
   0.24059    -13.849732    -13.849732
   0.25163    -13.860122    -13.860122
   0.26267    -13.870572    -13.870572
   0.27371    -13.881965    -13.881964
   0.28476    -13.898995    -13.898995
   0.29580    -13.922885    -13.922885
   0.30684    -13.948446    -13.948446
   0.31788    -13.962410    -13.962409
   0.32892    -13.959838    -13.959838
   0.33997    -13.957030    -13.957030
   0.35101    -13.954163    -13.954163
   0.36205    -13.952341    -13.952341
   0.36205    -13.952341    -13.952341
   0.38414    -13.962001    -13.962000
   0.40622    -13.974871    -13.974870
   0.42831    -13.948934    -13.948933
   0.45040    -13.910028    -13.910027
   0.47249    -13.892830    -13.892830
   0.49458    -13.878684    -13.878683
   0.51666    -13.863719    -13.863719
   0.53875    -13.847796    -13.847795
   0.56084    -13.830919    -13.830919
   0.58293    -13.813144    -13.813144
   0.60501    -13.804301    -13.804301
   0.62710    -13.830930    -13.830930
 
# Band-Index   14
   0.62710    -13.830889    -13.830889
   0.60501    -13.799510    -13.799509
   0.58293    -13.780767    -13.780767
   0.56084    -13.773853    -13.773853
   0.53875    -13.769420    -13.769420
   0.51666    -13.779851    -13.779851
   0.49458    -13.821269    -13.821268
   0.47249    -13.863089    -13.863088
   0.45040    -13.903543    -13.903543
   0.42831    -13.921195    -13.921195
   0.40622    -13.931836    -13.931835
   0.38414    -13.940842    -13.940841
   0.36205    -13.945013    -13.945013
   0.36205    -13.945013    -13.945013
   0.35101    -13.947793    -13.947792
   0.33997    -13.951025    -13.951024
   0.32892    -13.953986    -13.953986
   0.31788    -13.956646    -13.956645
   0.30684    -13.939342    -13.939342
   0.29580    -13.913166    -13.913166
   0.28476    -13.887256    -13.887255
   0.27371    -13.866088    -13.866087
   0.26267    -13.842038    -13.842037
   0.25163    -13.817718    -13.817718
   0.24059    -13.828516    -13.828516
   0.22954    -13.838750    -13.838749
   0.22954    -13.838750    -13.838749
   0.21042    -13.838330    -13.838330
   0.19129    -13.837076    -13.837076
   0.17216    -13.835001    -13.835001
   0.15303    -13.832142    -13.832142
   0.13390    -13.828600    -13.828599
   0.11477    -13.824619    -13.824619
   0.09564    -13.813494    -13.813494
   0.07651    -13.809806    -13.809806
   0.05739    -13.803410    -13.803410
   0.03826    -13.795746    -13.795746
   0.01913    -13.792298    -13.792297
   0.00000    -13.830889    -13.830889
 
# Band-Index   15
   0.00000    -13.781036    -13.781036
   0.01913    -13.790810    -13.790810
   0.03826    -13.794573    -13.794573
   0.05739    -13.802485    -13.802484
   0.07651    -13.809102    -13.809102
   0.09564    -13.813094    -13.813094
   0.11477    -13.811796    -13.811796
   0.13390    -13.806679    -13.806679
   0.15303    -13.800052    -13.800052
   0.17216    -13.792372    -13.792372
   0.19129    -13.783802    -13.783802
   0.21042    -13.774558    -13.774557
   0.22954    -13.767289    -13.767288
   0.22954    -13.767289    -13.767288
   0.24059    -13.791966    -13.791966
   0.25163    -13.816964    -13.816964
   0.26267    -13.835365    -13.835364
   0.27371    -13.861070    -13.861069
   0.28476    -13.884121    -13.884121
   0.29580    -13.895616    -13.895616
   0.30684    -13.905159    -13.905159
   0.31788    -13.914060    -13.914060
   0.32892    -13.922532    -13.922532
   0.33997    -13.930588    -13.930588
   0.35101    -13.938050    -13.938049
   0.36205    -13.943106    -13.943105
   0.36205    -13.943106    -13.943105
   0.38414    -13.935803    -13.935803
   0.40622    -13.926456    -13.926456
   0.42831    -13.915709    -13.915708
   0.45040    -13.900671    -13.900670
   0.47249    -13.862760    -13.862759
   0.49458    -13.821041    -13.821041
   0.51666    -13.779635    -13.779634
   0.53875    -13.769062    -13.769061
   0.56084    -13.773437    -13.773437
   0.58293    -13.780229    -13.780229
   0.60501    -13.794543    -13.794543
   0.62710    -13.781036    -13.781036
 
# Band-Index   16
   0.62710    -13.779723    -13.779723
   0.60501    -13.778836    -13.778836
   0.58293    -13.770022    -13.770022
   0.56084    -13.745249    -13.745249
   0.53875    -13.739070    -13.739070
   0.51666    -13.764177    -13.764177
   0.49458    -13.757945    -13.757945
   0.47249    -13.750662    -13.750662
   0.45040    -13.742340    -13.742340
   0.42831    -13.732999    -13.732999
   0.40622    -13.722666    -13.722666
   0.38414    -13.711371    -13.711371
   0.36205    -13.699160    -13.699159
   0.36205    -13.699160    -13.699159
   0.35101    -13.711603    -13.711603
   0.33997    -13.724054    -13.724054
   0.32892    -13.736354    -13.736354
   0.31788    -13.748494    -13.748494
   0.30684    -13.760469    -13.760469
   0.29580    -13.772273    -13.772272
   0.28476    -13.783897    -13.783897
   0.27371    -13.795337    -13.795337
   0.26267    -13.806589    -13.806589
   0.25163    -13.809834    -13.809834
   0.24059    -13.784525    -13.784524
   0.22954    -13.766802    -13.766802
   0.22954    -13.766802    -13.766802
   0.21042    -13.774034    -13.774034
   0.19129    -13.783279    -13.783279
   0.17216    -13.791862    -13.791862
   0.15303    -13.799565    -13.799565
   0.13390    -13.806236    -13.806236
   0.11477    -13.811432    -13.811432
   0.09564    -13.784814    -13.784813
