  #K-Path    Energy        Mo         S        Si
# Band-Index    1
    0.351  -14.0800     0.119     0.616     0.000
    0.362  -14.0793     0.117     0.622     0.000
    0.362  -14.0793     0.117     0.622     0.000
    0.384  -14.0642     0.118     0.621     0.000
    0.406  -14.0500     0.117     0.622     0.000
    0.428  -14.0344     0.119     0.622     0.000
    0.450  -14.0173     0.117     0.624     0.000
    0.472  -14.0070     0.060     0.640     0.000
    0.495  -14.0154     0.058     0.633     0.000
    0.517  -14.0225     0.056     0.631     0.000
    0.539  -14.0283     0.056     0.633     0.000
    0.561  -13.9990     0.120     0.626     0.000
    0.583  -13.9426     0.118     0.622     0.000
    0.605  -13.8867     0.117     0.630     0.000
    0.627  -13.8326     0.115     0.632     0.000
 
# Band-Index   10
    0.627  -13.8326     0.117     0.635     0.000
    0.605  -13.8586     0.116     0.626     0.000
    0.583  -13.8847     0.116     0.623     0.000
    0.561  -13.9099     0.120     0.624     0.000
    0.539  -13.9339     0.121     0.630     0.000
    0.517  -13.9568     0.056     0.631     0.000
    0.495  -13.9784     0.056     0.634     0.000
    0.472  -13.9985     0.059     0.632     0.000
    0.450  -14.0171     0.060     0.638     0.000
    0.428  -14.0343     0.060     0.636     0.000
    0.406  -14.0499     0.124     0.621     0.000
    0.384  -14.0640     0.124     0.621     0.000
    0.362  -14.0716     0.120     0.617     0.000
    0.362  -14.0716     0.120     0.617     0.000
    0.351  -14.0797     0.120     0.617     0.000
    0.340  -14.0852     0.122     0.615     0.000
    0.329  -14.0899     0.122     0.613     0.000
    0.318  -14.0941     0.122     0.614     0.000
    0.307  -14.0977     0.123     0.613     0.000
    0.296  -14.1008     0.121     0.618     0.000
    0.285  -14.1034     0.118     0.619     0.000
    0.274  -14.1056     0.116     0.618     0.000
    0.263  -14.1073     0.115     0.623     0.000
    0.252  -14.1085     0.118     0.617     0.000
    0.241  -14.1092     0.122     0.618     0.000
    0.230  -14.1094     0.117     0.615     0.000
    0.230  -14.1094     0.117     0.615     0.000
    0.210  -14.0616     0.117     0.621     0.000
    0.191  -14.0141     0.118     0.620     0.000
    0.172  -13.9995     0.120     0.624     0.000
    0.153  -14.0076     0.119     0.624     0.000
    0.134  -14.0149     0.118     0.621     0.000
    0.115  -14.0212     0.115     0.626     0.000
    0.096  -14.0265     0.114     0.625     0.000
    0.077  -13.9966     0.117     0.627     0.000
    0.057  -13.9552     0.116     0.628     0.000
    0.038  -13.9138     0.118     0.629     0.000
    0.019  -13.8724     0.115     0.630     0.000
    0.000  -13.8326     0.117     0.635     0.000
 
# Band-Index   11
    0.000  -13.8321     0.118     0.634     0.000
    0.019  -13.8316     0.116     0.634     0.000
    0.038  -13.8303     0.115     0.629     0.000
    0.057  -13.8350     0.074     0.650     0.000
    0.077  -13.8529     0.072     0.641     0.000
    0.096  -13.8701     0.071     0.637     0.000
    0.115  -13.8868     0.072     0.640     0.000
    0.134  -13.9029     0.072     0.638     0.000
    0.153  -13.9232     0.100     0.634     0.000
    0.172  -13.9671     0.122     0.625     0.000
    0.191  -13.9904     0.061     0.635     0.000
    0.210  -13.9805     0.063     0.635     0.000
    0.230  -13.9721     0.065     0.639     0.000
    0.230  -13.9721     0.065     0.639     0.000
    0.241  -13.9719     0.065     0.638     0.000
    0.252  -13.9714     0.065     0.638     0.000
    0.263  -13.9706     0.065     0.639     0.000
    0.274  -13.9696     0.065     0.640     0.000
    0.285  -13.9681     0.065     0.639     0.000
    0.296  -13.9664     0.065     0.638     0.000
    0.307  -13.9644     0.065     0.638     0.000
    0.318  -13.9744     0.120     0.622     0.000
    0.329  -14.0006     0.120     0.628     0.000
    0.340  -14.0270     0.120     0.620     0.000
    0.351  -14.0533     0.120     0.618     0.000
    0.362  -14.0715     0.117     0.620     0.000
    0.362  -14.0715     0.117     0.620     0.000
    0.384  -14.0332     0.118     0.622     0.000
    0.406  -13.9913     0.117     0.625     0.000
    0.428  -13.9866     0.061     0.639     0.000
    0.450  -13.9974     0.061     0.635     0.000
    0.472  -13.9984     0.119     0.622     0.000
    0.495  -13.9782     0.117     0.625     0.000
    0.517  -13.9567     0.116     0.627     0.000
    0.539  -13.9338     0.116     0.623     0.000
    0.561  -13.9097     0.117     0.633     0.000
    0.583  -13.8846     0.117     0.628     0.000
    0.605  -13.8585     0.114     0.630     0.000
    0.627  -13.8321     0.118     0.634     0.000
 
# Band-Index   12
    0.627  -13.8310     0.117     0.629     0.000
    0.605  -13.8045     0.113     0.633     0.000
    0.583  -13.8180     0.113     0.634     0.000
    0.561  -13.8359     0.115     0.632     0.000
    0.539  -13.8529     0.111     0.631     0.000
    0.517  -13.8688     0.097     0.639     0.000
    0.495  -13.8837     0.119     0.630     0.000
    0.472  -13.8977     0.125     0.631     0.000
    0.450  -13.9124     0.081     0.633     0.000
    0.428  -13.9491     0.070     0.640     0.000
    0.406  -13.9911     0.068     0.639     0.000
    0.384  -14.0330     0.064     0.638     0.000
    0.362  -14.0708     0.065     0.633     0.000
    0.362  -14.0708     0.065     0.633     0.000
    0.351  -14.0449     0.065     0.633     0.000
    0.340  -14.0184     0.065     0.633     0.000
    0.329  -13.9920     0.065     0.633     0.000
    0.318  -13.9657     0.065     0.635     0.000
    0.307  -13.9588     0.065     0.635     0.000
    0.296  -13.9608     0.065     0.636     0.000
    0.285  -13.9626     0.065     0.637     0.000
    0.274  -13.9640     0.115     0.621     0.000
    0.263  -13.9651     0.115     0.626     0.000
    0.252  -13.9659     0.115     0.626     0.000
    0.241  -13.9664     0.116     0.621     0.000
    0.230  -13.9665     0.118     0.619     0.000
    0.230  -13.9665     0.118     0.619     0.000
    0.210  -13.9571     0.117     0.618     0.000
    0.191  -13.9446     0.117     0.623     0.000
    0.172  -13.9309     0.116     0.627     0.000
    0.153  -13.9140     0.083     0.635     0.000
    0.134  -13.8734     0.070     0.640     0.000
    0.115  -13.8289     0.070     0.641     0.000
    0.096  -13.8239     0.070     0.637     0.000
    0.077  -13.8256     0.070     0.641     0.000
    0.057  -13.8281     0.070     0.645     0.000
    0.038  -13.8295     0.072     0.645     0.000
    0.019  -13.8308     0.111     0.636     0.000
    0.000  -13.8310     0.117     0.629     0.000
 
# Band-Index   13
    0.000  -13.8309     0.117     0.631     0.000
    0.019  -13.7977     0.073     0.645     0.000
    0.038  -13.8165     0.077     0.643     0.000
    0.057  -13.8273     0.112     0.635     0.000
    0.077  -13.8246     0.110     0.631     0.000
    0.096  -13.8227     0.099     0.636     0.000
    0.115  -13.8258     0.080     0.637     0.000
    0.134  -13.8294     0.079     0.643     0.000
    0.153  -13.8329     0.078     0.640     0.000
    0.172  -13.8357     0.076     0.644     0.000
    0.191  -13.8378     0.076     0.639     0.000
    0.210  -13.8390     0.076     0.641     0.000
    0.230  -13.8394     0.076     0.641     0.000
