    # Energy          Mo           S          Si           C           O
   -14.46452    -0.87119    -4.28118    -0.00021    -0.00001    -0.00003
   -14.46152    -1.43957    -7.07878    -0.00035    -0.00002    -0.00006
   -14.45852    -1.22842    -6.04409    -0.00030    -0.00002    -0.00005
   -14.45552    -1.34721    -6.63061    -0.00033    -0.00002    -0.00005
   -14.45252    -1.46598    -7.21753    -0.00035    -0.00002    -0.00006
   -14.44952    -1.05373    -5.19066    -0.00025    -0.00001    -0.00004
   -14.44652    -1.02996    -5.07557    -0.00025    -0.00001    -0.00004
   -14.44352    -1.00618    -4.96031    -0.00024    -0.00001    -0.00004
   -14.44052    -0.98684    -4.86715    -0.00024    -0.00001    -0.00004
   -14.43752    -0.97668    -4.81893    -0.00024    -0.00001    -0.00003
   -14.43452    -0.96649    -4.77089    -0.00023    -0.00001    -0.00003
   -14.43152    -0.95632    -4.72272    -0.00023    -0.00001    -0.00003
   -14.42852    -0.92669    -4.57999    -0.00022    -0.00001    -0.00003
   -14.42552    -0.91621    -4.53006    -0.00022    -0.00001    -0.00003
   -14.42252    -0.90594    -4.48118    -0.00022    -0.00001    -0.00003
   -14.41952    -0.89568    -4.43226    -0.00021    -0.00001    -0.00003
   -14.41652    -0.88543    -4.38331    -0.00021    -0.00001    -0.00003
   -14.41352    -0.87517    -4.33432    -0.00021    -0.00001    -0.00003
   -14.41052    -0.86492    -4.28543    -0.00021    -0.00001    -0.00003
   -14.40752    -0.85357    -4.23089    -0.00020    -0.00001    -0.00003
   -14.40452    -0.84147    -4.17256    -0.00020    -0.00001    -0.00003
   -14.40152    -0.84191    -4.17653    -0.00020    -0.00001    -0.00003
   -14.39852    -0.84231    -4.18050    -0.00020    -0.00001    -0.00003
   -14.39552    -0.85194    -4.23045    -0.00020    -0.00001    -0.00003
   -14.39252    -0.86655    -4.30508    -0.00021    -0.00001    -0.00003
   -14.38952    -0.88112    -4.37973    -0.00021    -0.00001    -0.00003
   -14.38652    -0.89441    -4.44780    -0.00021    -0.00001    -0.00003
   -14.38352    -0.90644    -4.50997    -0.00021    -0.00001    -0.00003
   -14.38052    -0.91845    -4.57209    -0.00022    -0.00001    -0.00003
   -14.37752    -0.93046    -4.63431    -0.00022    -0.00001    -0.00003
   -14.37452    -0.93880    -4.67776    -0.00022    -0.00001    -0.00003
   -14.37152    -0.96103    -4.79192    -0.00023    -0.00001    -0.00003
   -14.36852    -0.96686    -4.82311    -0.00023    -0.00001    -0.00003
   -14.36552    -0.97273    -4.85435    -0.00023    -0.00001    -0.00003
   -14.36252    -0.97970    -4.89080    -0.00023    -0.00001    -0.00003
   -14.35952    -0.98804    -4.93411    -0.00023    -0.00001    -0.00003
   -14.35652    -0.99636    -4.97694    -0.00023    -0.00001    -0.00003
   -14.35352    -1.00472    -5.01987    -0.00024    -0.00001    -0.00003
   -14.35052    -1.01303    -5.06293    -0.00024    -0.00001    -0.00003
   -14.34752    -1.02136    -5.10586    -0.00024    -0.00001    -0.00003
   -14.34452    -1.02968    -5.14886    -0.00024    -0.00001    -0.00003
   -14.34152    -1.24784    -6.24638    -0.00029    -0.00002    -0.00004
   -14.33852    -1.18285    -5.92438    -0.00028    -0.00002    -0.00004
   -14.33552    -1.13313    -5.67781    -0.00027    -0.00001    -0.00004
   -14.33252    -1.11490    -5.58929    -0.00026    -0.00001    -0.00004
   -14.32952    -1.18169    -5.92807    -0.00028    -0.00001    -0.00004
   -14.32652    -1.24851    -6.26583    -0.00029    -0.00002    -0.00004
   -14.32352    -1.31528    -6.60429    -0.00031    -0.00002    -0.00005
   -14.32052    -1.24568    -6.25852    -0.00029    -0.00002    -0.00004
   -14.31752    -1.31835    -6.62658    -0.00031    -0.00002    -0.00005
   -14.31452    -1.39104    -6.99373    -0.00032    -0.00002    -0.00005
   -14.31152    -1.46369    -7.36130    -0.00034    -0.00002    -0.00005
   -14.30852    -1.20144    -6.04511    -0.00028    -0.00002    -0.00005
   -14.30552    -1.21118    -6.09583    -0.00028    -0.00002    -0.00004
   -14.30252    -1.22115    -6.14763    -0.00028    -0.00002    -0.00004
   -14.29952    -1.23136    -6.20126    -0.00029    -0.00002    -0.00004
   -14.29652    -1.24499    -6.27121    -0.00029    -0.00002    -0.00005
   -14.29352    -1.27145    -6.40684    -0.00029    -0.00002    -0.00005
   -14.29052    -1.28709    -6.48837    -0.00030    -0.00002    -0.00005
   -14.28752    -1.30261    -6.56910    -0.00030    -0.00002    -0.00005
   -14.28452    -1.31851    -6.65218    -0.00030    -0.00002    -0.00005
   -14.28152    -1.33436    -6.73436    -0.00031    -0.00002    -0.00005
   -14.27852    -1.02553    -5.17745    -0.00024    -0.00001    -0.00003
   -14.27552    -0.96690    -4.88347    -0.00022    -0.00001    -0.00003
   -14.27252    -0.90795    -4.58760    -0.00021    -0.00001    -0.00003
   -14.26952    -0.84691    -4.28106    -0.00019    -0.00001    -0.00003
   -14.26652    -0.50435    -2.54970    -0.00012    -0.00001    -0.00002
   -14.26352    -0.48032    -2.42930    -0.00011    -0.00001    -0.00001
   -14.26052    -0.45628    -2.30888    -0.00010    -0.00001    -0.00001
   -14.25752    -0.43226    -2.18843    -0.00010    -0.00000    -0.00001
   -14.25452    -0.40823    -2.06805    -0.00009    -0.00000    -0.00001
   -14.25152    -0.38419    -1.94761    -0.00009    -0.00000    -0.00001
   -14.24852    -0.37781    -1.91632    -0.00009    -0.00000    -0.00001
   -14.24552    -0.38679    -1.96250    -0.00009    -0.00000    -0.00001
   -14.24252    -0.39576    -2.00856    -0.00009    -0.00000    -0.00001
   -14.23952    -0.74261    -3.77484    -0.00017    -0.00001    -0.00002
   -14.23652    -0.90044    -4.57921    -0.00020    -0.00001    -0.00003
   -14.23352    -1.05827    -5.38388    -0.00024    -0.00001    -0.00004
   -14.23052    -1.00859    -5.13195    -0.00023    -0.00001    -0.00003
   -14.22752    -0.93710    -4.76940    -0.00021    -0.00001    -0.00003
   -14.22452    -0.86566    -4.40659    -0.00020    -0.00001    -0.00003
   -14.22152    -0.79967    -4.07217    -0.00018    -0.00001    -0.00003
   -14.21852    -0.75778    -3.86263    -0.00017    -0.00001    -0.00002
   -14.21552    -0.72960    -3.72299    -0.00016    -0.00001    -0.00002
   -14.21252    -0.70266    -3.58927    -0.00016    -0.00001    -0.00002
   -14.20952    -0.68617    -3.50836    -0.00015    -0.00001    -0.00002
   -14.20652    -0.69850    -3.57348    -0.00016    -0.00001    -0.00002
   -14.20352    -0.71089    -3.63867    -0.00016    -0.00001    -0.00002
   -14.20052    -0.83912    -4.29851    -0.00019    -0.00001    -0.00002
   -14.19752    -1.07822    -5.52466    -0.00024    -0.00001    -0.00003
   -14.19452    -1.19914    -6.14538    -0.00027    -0.00001    -0.00004
   -14.19152    -1.18782    -6.08873    -0.00026    -0.00001    -0.00004
   -14.18852    -1.11675    -5.72596    -0.00025    -0.00001    -0.00004
   -14.18552    -1.34735    -6.91049    -0.00030    -0.00002    -0.00004
   -14.18252    -1.30041    -6.67235    -0.00029    -0.00002    -0.00004
   -14.17952    -1.25349    -6.43411    -0.00028    -0.00001    -0.00004
   -14.17652    -1.20652    -6.19567    -0.00027    -0.00001    -0.00004
   -14.17352    -1.15961    -5.95722    -0.00026    -0.00001    -0.00004
   -14.17052    -1.15004    -5.90996    -0.00025    -0.00001    -0.00004
   -14.16752    -1.16645    -5.99601    -0.00026    -0.00001    -0.00004
   -14.16452    -1.18289    -6.08235    -0.00026    -0.00001    -0.00004
   -14.16152    -1.19859    -6.16489    -0.00026    -0.00001    -0.00004
   -14.15852    -1.17119    -6.02569    -0.00026    -0.00001    -0.00004
   -14.15552    -1.65807    -8.53624    -0.00036    -0.00002    -0.00005
   -14.15252    -2.65503   -13.67380    -0.00058    -0.00003    -0.00009
   -14.14952    -0.99203    -5.11241    -0.00022    -0.00001    -0.00003
   -14.14652    -0.97029    -5.00179    -0.00021    -0.00001    -0.00003
   -14.14352    -0.94851    -4.89119    -0.00021    -0.00001    -0.00003
   -14.14052    -0.92673    -4.78049    -0.00020    -0.00001    -0.00003
   -14.13752    -0.90499    -4.66990    -0.00020    -0.00001    -0.00003
   -14.13452    -0.88326    -4.55909    -0.00019    -0.00001    -0.00003
   -14.13152    -0.83495    -4.31298    -0.00018    -0.00001    -0.00003
   -14.12852    -0.84864    -4.38534    -0.00019    -0.00001    -0.00003
   -14.12552    -0.91574    -4.73441    -0.00020    -0.00001    -0.00003
   -14.12252    -0.94028    -4.86327    -0.00020    -0.00001    -0.00003
   -14.11952    -0.96483    -4.99210    -0.00021    -0.00001    -0.00003
   -14.11652    -0.98937    -5.12124    -0.00021    -0.00001    -0.00003
   -14.11352    -1.01392    -5.25042    -0.00022    -0.00001    -0.00003
   -14.11052    -1.03849    -5.37916    -0.00022    -0.00001    -0.00003
   -14.10752    -1.06301    -5.50824    -0.00023    -0.00001    -0.00004
   -14.10452    -1.14458    -5.93551    -0.00025    -0.00001    -0.00004
   -14.10152    -1.21080    -6.28159    -0.00026    -0.00001    -0.00004
   -14.09852    -1.22567    -6.35976    -0.00026    -0.00001    -0.00004
   -14.09552    -1.24054    -6.43864    -0.00027    -0.00001    -0.00004
   -14.09252    -1.25405    -6.52185    -0.00027    -0.00001    -0.00004
   -14.08952    -1.08983    -5.72737    -0.00025    -0.00001    -0.00004
   -14.08652    -1.09591    -5.78205    -0.00026    -0.00001    -0.00004
   -14.08352    -1.10320    -5.83678    -0.00026    -0.00001    -0.00004
   -14.08052    -1.09795    -5.82391    -0.00026    -0.00001    -0.00004
   -14.07752    -1.08343    -5.76253    -0.00026    -0.00001    -0.00004
