    # Energy          Mo           S          Si           C           O
   -14.74952     0.80211     3.76899     0.00021     0.00001     0.00002
   -14.74652     0.77611     3.64814     0.00020     0.00001     0.00002
   -14.74352     0.75016     3.52724     0.00019     0.00001     0.00002
   -14.74052     0.72415     3.40626     0.00019     0.00001     0.00002
   -14.73752     0.74242     3.49498     0.00019     0.00001     0.00002
   -14.73452     0.72275     3.40329     0.00018     0.00001     0.00002
   -14.73152     0.70306     3.31158     0.00018     0.00001     0.00002
   -14.72852     0.67723     3.19253     0.00017     0.00001     0.00002
   -14.72552     0.65669     3.09729     0.00017     0.00001     0.00002
   -14.72252     0.63623     3.00208     0.00016     0.00001     0.00002
   -14.71952     0.61568     2.90685     0.00016     0.00001     0.00002
   -14.71652     0.59776     2.82372     0.00015     0.00001     0.00002
   -14.71352     0.58565     2.76809     0.00015     0.00001     0.00002
   -14.71052     0.57240     2.70670     0.00015     0.00001     0.00002
   -14.70752     0.55913     2.64519     0.00014     0.00001     0.00002
   -14.70452     0.54582     2.58362     0.00014     0.00001     0.00002
   -14.70152     0.53259     2.52213     0.00014     0.00001     0.00002
   -14.69852     0.51927     2.46057     0.00013     0.00001     0.00002
   -14.69552     0.50858     2.41133     0.00013     0.00001     0.00002
   -14.69252     0.49877     2.36617     0.00013     0.00001     0.00002
   -14.68952     0.49437     2.34665     0.00013     0.00001     0.00002
   -14.68652     0.49645     2.35743     0.00013     0.00001     0.00002
   -14.68352     0.49847     2.36815     0.00013     0.00001     0.00002
   -14.68052     2.05206     9.75377     0.00052     0.00003     0.00007
   -14.67752     1.25134     5.95174     0.00032     0.00002     0.00005
   -14.67452     1.18737     5.65059     0.00030     0.00002     0.00004
   -14.67152     1.12343     5.34877     0.00028     0.00002     0.00004
   -14.66852     1.09002     5.19232     0.00028     0.00002     0.00004
   -14.66552     0.95717     4.56257     0.00024     0.00001     0.00004
   -14.66252     0.95236     4.54158     0.00024     0.00001     0.00004
   -14.65952     0.94754     4.52047     0.00024     0.00001     0.00004
   -14.65652     0.95406     4.55336     0.00024     0.00001     0.00004
   -14.65352     0.96872     4.62493     0.00024     0.00001     0.00004
   -14.65052     0.98338     4.69687     0.00025     0.00001     0.00004
   -14.64752     0.99806     4.76864     0.00025     0.00001     0.00004
   -14.64452     1.01273     4.84047     0.00026     0.00001     0.00004
   -14.64152     1.15782     5.53688     0.00029     0.00002     0.00004
   -14.63852     1.16100     5.55352     0.00029     0.00002     0.00004
   -14.63552     1.16421     5.57084     0.00029     0.00002     0.00004
   -14.63252     1.22246     5.85221     0.00031     0.00002     0.00004
   -14.62952     1.24018     5.93957     0.00031     0.00002     0.00004
   -14.62652     1.25702     6.02342     0.00032     0.00002     0.00004
   -14.62352     1.27386     6.10703     0.00032     0.00002     0.00004
   -14.62052     1.19370     5.72432     0.00030     0.00001     0.00004
   -14.61752     1.10327     5.29264     0.00028     0.00001     0.00003
   -14.61452     1.01286     4.86036     0.00025     0.00001     0.00003
   -14.61152     0.92247     4.42807     0.00023     0.00001     0.00003
   -14.60852     0.83212     3.99589     0.00021     0.00001     0.00003
   -14.60552     0.74175     3.56370     0.00019     0.00001     0.00002
   -14.60252     0.65141     3.13136     0.00016     0.00001     0.00002
   -14.59952     0.58275     2.80316     0.00015     0.00001     0.00002
   -14.59652     0.61414     2.95528     0.00015     0.00001     0.00002
   -14.59352     0.64548     3.10754     0.00016     0.00001     0.00002
   -14.59052     0.67683     3.25979     0.00017     0.00001     0.00002
   -14.58752     0.70817     3.41206     0.00018     0.00001     0.00002
   -14.58452     0.73955     3.56430     0.00018     0.00001     0.00002
   -14.58152     0.77090     3.71658     0.00019     0.00001     0.00002
   -14.57852     0.80221     3.86893     0.00020     0.00001     0.00003
   -14.57552     0.83790     4.04288     0.00021     0.00001     0.00003
   -14.57252     0.75575     3.65182     0.00019     0.00001     0.00003
   -14.56952     0.93996     4.54631     0.00023     0.00001     0.00003
   -14.56652     0.88199     4.26883     0.00022     0.00001     0.00003
   -14.56352     0.81751     3.95918     0.00020     0.00001     0.00003
   -14.56052     0.75756     3.67059     0.00019     0.00001     0.00002
   -14.55752     0.72327     3.50622     0.00018     0.00001     0.00002
   -14.55452     0.68898     3.34182     0.00017     0.00001     0.00002
   -14.55152     0.70362     3.41439     0.00017     0.00001     0.00002
   -14.54852     0.73583     3.57177     0.00018     0.00001     0.00003
