  #K-Path    Energy        Mo         S        Si         C         O
# Band-Index    1
    0.077  -14.7300     0.126     0.592     0.000     0.000     0.000
    0.096  -14.7431     0.126     0.587     0.000     0.000     0.000
    0.115  -14.7546     0.125     0.588     0.000     0.000     0.000
    0.134  -14.7643     0.127     0.587     0.000     0.000     0.000
    0.153  -14.7723     0.127     0.588     0.000     0.000     0.000
    0.172  -14.7785     0.127     0.586     0.000     0.000     0.000
    0.191  -14.7830     0.127     0.587     0.000     0.000     0.000
    0.210  -14.7857     0.126     0.586     0.000     0.000     0.000
    0.230  -14.7865     0.126     0.586     0.000     0.000     0.000
    0.230  -14.7865     0.126     0.586     0.000     0.000     0.000
    0.241  -14.8072     0.125     0.582     0.000     0.000     0.000
    0.252  -14.8280     0.125     0.582     0.000     0.000     0.000
    0.263  -14.8483     0.125     0.578     0.000     0.000     0.000
    0.274  -14.8682     0.125     0.576     0.000     0.000     0.000
    0.285  -14.8875     0.125     0.577     0.000     0.000     0.000
    0.296  -14.9063     0.126     0.579     0.000     0.000     0.000
    0.307  -14.9246     0.128     0.578     0.000     0.000     0.000
    0.318  -14.9423     0.128     0.578     0.000     0.000     0.000
    0.329  -14.9594     0.127     0.581     0.000     0.000     0.000
    0.340  -14.9759     0.124     0.578     0.000     0.000     0.000
    0.351  -14.9915     0.125     0.577     0.000     0.000     0.000
    0.362  -15.0024     0.126     0.575     0.000     0.000     0.000
    0.362  -15.0024     0.126     0.575     0.000     0.000     0.000
    0.384  -14.9881     0.126     0.577     0.000     0.000     0.000
    0.406  -14.9692     0.125     0.575     0.000     0.000     0.000
    0.428  -14.9479     0.126     0.575     0.000     0.000     0.000
    0.450  -14.9241     0.126     0.573     0.000     0.000     0.000
    0.472  -14.8981     0.126     0.575     0.000     0.000     0.000
    0.495  -14.8698     0.127     0.578     0.000     0.000     0.000
    0.517  -14.8394     0.127     0.582     0.000     0.000     0.000
    0.539  -14.8068     0.126     0.583     0.000     0.000     0.000
    0.561  -14.7721     0.126     0.583     0.000     0.000     0.000
    0.583  -14.7355     0.127     0.583     0.000     0.000     0.000
    0.605  -14.6972     0.125     0.583     0.000     0.000     0.000
    0.627  -14.6649     0.121     0.587     0.000     0.000     0.000
 
# Band-Index    6
    0.627  -14.6627     0.124     0.592     0.000     0.000     0.000
    0.605  -14.6589     0.125     0.589     0.000     0.000     0.000
    0.583  -14.6555     0.122     0.590     0.000     0.000     0.000
    0.561  -14.6497     0.123     0.587     0.000     0.000     0.000
    0.539  -14.6417     0.124     0.591     0.000     0.000     0.000
    0.517  -14.6313     0.125     0.585     0.000     0.000     0.000
    0.495  -14.6188     0.123     0.586     0.000     0.000     0.000
    0.472  -14.6040     0.123     0.587     0.000     0.000     0.000
    0.450  -14.5870     0.123     0.585     0.000     0.000     0.000
    0.428  -14.5679     0.123     0.586     0.000     0.000     0.000
    0.406  -14.5467     0.123     0.585     0.000     0.000     0.000
    0.384  -14.5235     0.123     0.585     0.000     0.000     0.000
