# Distance (in angstrom)   RDF
       6.9921875       1.0730000
       7.0312500       1.3190000
       7.0703125       1.5740000
       7.1093750       0.9420000
       7.1484375       1.1420000
       7.1875000       1.1030000
       7.2265625       0.9650000
       7.2656250       0.7910000
       7.3046875       0.6080000
       7.3437500       0.5890000
       7.3828125       0.5000000
       7.4218750       0.3510000
       7.4609375       0.3290000
       7.5000000       0.3440000
       7.5390625       0.3830000
       7.5781250       0.3670000
       7.6171875       0.4520000
       7.6562500       0.3650000
       7.6953125       0.3730000
       7.7343750       0.4040000
       7.7734375       0.5600000
       7.8125000       0.6170000
       7.8515625       0.7340000
       7.8906250       0.7210000
       7.9296875       0.7410000
       7.9687500       0.7560000
       8.0078125       0.8940000
       8.0468750       1.2110000
       8.0859375       1.8280000
       8.1250000       1.4600000
       8.1640625       1.1660000
       8.2031250       1.0470000
       8.2421875       0.9920000
       8.2812500       0.7960000
       8.3203125       0.7630000
       8.3593750       0.7070000
       8.3984375       0.8870000
       8.4375000       0.8250000
       8.4765625       0.9520000
       8.5156250       0.9810000
       8.5546875       0.9440000
       8.5937500       1.2210000
       8.6328125       1.5440000
       8.6718750       1.0290000
       8.7109375       0.9470000
       8.7500000       0.8390000
       8.7890625       0.8860000
       8.8281250       0.8340000
       8.8671875       0.7560000
       8.9062500       0.8800000
       8.9453125       1.0970000
       8.9843750       0.6460000
       9.0234375       0.5600000
       9.0625000       0.4500000
       9.1015625       0.3920000
       9.1406250       0.5170000
       9.1796875       0.4310000
       9.2187500       0.4070000
       9.2578125       0.3750000
       9.2968750       0.3400000
       9.3359375       0.3930000
       9.3750000       0.4050000
       9.4140625       0.4520000
       9.4531250       0.5650000
       9.4921875       0.5950000
       9.5312500       0.5900000
       9.5703125       0.7700000
       9.6093750       0.8800000
       9.6484375       0.9730000
       9.6875000       1.0760000
       9.7265625       1.6300000
       9.7656250       0.9790000
       9.8046875       1.0100000
       9.8437500       0.9380000
       9.8828125       0.9880000
       9.9218750       1.0390000
       9.9609375       0.9300000
