    # Energy          Mo          Au           S          Si           C           O
   -14.56182     1.54824     0.02110    10.79292     0.28677     0.00000     0.00001
   -14.55882     1.96424     0.02583    13.65663     0.36191     0.00001     0.00001
   -14.55582     2.25510     0.03041    15.62566     0.41179     0.00001     0.00001
   -14.55282     2.02288     0.02852    14.01257     0.36861     0.00000     0.00001
   -14.54982     1.81076     0.02506    12.56127     0.33118     0.00000     0.00001
   -14.54682     1.59837     0.02149    11.11144     0.29386     0.00000     0.00001
   -14.54382     1.38581     0.01784     9.66136     0.25668     0.00000     0.00001
   -14.54082     1.20026     0.01449     8.39804     0.22448     0.00000     0.00001
   -14.53782     1.07667     0.01245     7.55100     0.20260     0.00000     0.00001
   -14.53482     0.95315     0.01044     6.70422     0.18069     0.00000     0.00001
   -14.53182     0.80837     0.00815     5.70822     0.15487     0.00000     0.00001
   -14.52882     0.64165     0.00574     4.55299     0.12454     0.00000     0.00001
   -14.52582     0.85765     0.00586     6.12890     0.16862     0.00000     0.00001
   -14.52282     0.66265     0.00390     4.76724     0.13272     0.00000     0.00000
   -14.51982     0.48842     0.00296     3.53111     0.09926     0.00000     0.00000
   -14.51682     0.45640     0.00284     3.30024     0.09285     0.00000     0.00000
   -14.51382     0.57103     0.00392     4.10713     0.11423     0.00000     0.00001
   -14.51082     0.58975     0.00418     4.23758     0.11760     0.00000     0.00001
   -14.50782     0.60850     0.00445     4.36784     0.12096     0.00000     0.00001
   -14.50482     0.62722     0.00473     4.49838     0.12431     0.00000     0.00001
   -14.50182     0.64602     0.00501     4.62888     0.12765     0.00000     0.00001
   -14.49882     0.66555     0.00531     4.76415     0.13113     0.00000     0.00001
   -14.49582     0.69062     0.00577     4.94066     0.13577     0.00000     0.00001
   -14.49282     0.70080     0.00606     5.01858     0.13806     0.00000     0.00001
   -14.48982     0.71350     0.00640     5.11381     0.14080     0.00000     0.00001
   -14.48682     0.76615     0.00721     5.48316     0.15056     0.00000     0.00001
   -14.48382     0.83776     0.00828     5.98538     0.16378     0.00000     0.00001
   -14.48082     0.90933     0.00941     6.48666     0.17696     0.00000     0.00001
   -14.47782     0.91492     0.00953     6.53067     0.17825     0.00000     0.00001
   -14.47482     1.02287     0.01102     7.32165     0.20074     0.00000     0.00001
   -14.47182     1.18623     0.01276     8.50264     0.23384     0.00000     0.00001
   -14.46882     1.28173     0.01400     9.18974     0.25265     0.00000     0.00001
   -14.46582     1.37727     0.01530     9.87562     0.27139     0.00000     0.00001
   -14.46282     1.58725     0.01812    11.39192     0.31322     0.00000     0.00001
   -14.45982     1.64958     0.01874    11.86897     0.32793     0.00000     0.00001
   -14.45682     1.14872     0.01081     8.29654     0.23082     0.00000     0.00001
   -14.45382     0.88988     0.00643     6.45275     0.18080     0.00000     0.00001
   -14.45082     0.74654     0.00509     5.42960     0.15298     0.00000     0.00001
   -14.44782     0.60353     0.00386     4.40562     0.12498     0.00000     0.00000
   -14.44482     0.84881     0.00397     6.22795     0.17810     0.00000     0.00001
   -14.44182     0.23362     0.00197     1.72065     0.04971     0.00000     0.00000
   -14.43882     0.22932     0.00190     1.69137     0.04898     0.00000     0.00000
   -14.43582     0.22503     0.00183     1.66208     0.04824     0.00000     0.00000
   -14.43282     0.22074     0.00176     1.63284     0.04750     0.00000     0.00000
   -14.42982     0.21646     0.00169     1.60367     0.04676     0.00000     0.00000
   -14.42682     0.21218     0.00163     1.57447     0.04602     0.00000     0.00000
   -14.42382     0.22056     0.00168     1.64177     0.04809     0.00000     0.00000
   -14.42082     0.24669     0.00190     1.84473     0.05411     0.00000     0.00000
   -14.41782     0.26976     0.00204     2.02752     0.05970     0.00000     0.00000
   -14.41482     0.29240     0.00218     2.20739     0.06522     0.00000     0.00000
   -14.41182     0.31974     0.00246     2.41718     0.07137     0.00000     0.00000
   -14.40882     0.34711     0.00275     2.62725     0.07751     0.00000     0.00000
   -14.40582     0.40217     0.00384     3.04111     0.08911     0.00000     0.00000
   -14.40282     0.76625     0.01373     5.74480     0.16320     0.00000     0.00001
   -14.39982     1.29279     0.02745     9.66705     0.27127     0.00000     0.00001
   -14.39682     1.69313     0.03412    12.65117     0.35483     0.00001     0.00002
   -14.39382     1.80385     0.03493    13.48143     0.37839     0.00001     0.00002
   -14.39082     1.91377     0.03549    14.31387     0.40235     0.00001     0.00002
   -14.38782     2.12145     0.03933    15.84761     0.44409     0.00001     0.00003
   -14.38482     2.10987     0.03773    15.76367     0.44181     0.00001     0.00002
   -14.38182     2.09332     0.03594    15.64029     0.43820     0.00001     0.00002
   -14.37882     2.03427     0.03364    15.19593     0.42557     0.00001     0.00002
   -14.37582     1.63706     0.02883    12.22073     0.34152     0.00001     0.00002
   -14.37282     1.30582     0.02387     9.76551     0.27380     0.00001     0.00001
   -14.36982     0.96723     0.01739     7.30762     0.20962     0.00000     0.00001
   -14.36682     0.70589     0.01105     5.41883     0.16066     0.00000     0.00001
   -14.36382     0.62324     0.00921     4.80661     0.14381     0.00000     0.00001
   -14.36082     0.55679     0.00778     4.31245     0.13013     0.00000     0.00001
   -14.35782     0.51901     0.00708     4.02799     0.12201     0.00000     0.00001
   -14.35482     0.48403     0.00643     3.76463     0.11452     0.00000     0.00001
   -14.35182     0.45931     0.00596     3.58150     0.10949     0.00000     0.00001
   -14.34882     0.62118     0.00835     4.81432     0.14464     0.00000     0.00001
   -14.34582     0.84105     0.01158     6.48289     0.19177     0.00000     0.00001
   -14.34282     1.15190     0.01434     8.83429     0.25725     0.00000     0.00001
   -14.33982     1.51835     0.01779    11.63105     0.33641     0.00001     0.00001
   -14.33682     1.48163     0.01925    11.25560     0.32018     0.00000     0.00001
   -14.33382     1.96983     0.02774    14.82342     0.41213     0.00001     0.00002
   -14.33082     1.28871     0.01726     9.84881     0.28373     0.00001     0.00001
   -14.32782     1.08038     0.01341     8.36829     0.24787     0.00000     0.00001
   -14.32482     1.07105     0.01287     8.32297     0.24792     0.00000     0.00001
   -14.32182     0.92055     0.01224     7.16437     0.21121     0.00000     0.00001
   -14.31882     0.91239     0.01185     7.12055     0.21076     0.00001     0.00001
   -14.31582     0.92144     0.01180     7.20609     0.21370     0.00001     0.00001
   -14.31282     1.00162     0.01299     7.83531     0.23195     0.00001     0.00002
   -14.30982     1.01257     0.01297     7.93640     0.23536     0.00001     0.00002
   -14.30682     1.00258     0.01272     7.88062     0.23403     0.00001     0.00002
   -14.30382     1.13122     0.01569     8.89410     0.26364     0.00001     0.00002
   -14.30082     1.13029     0.01515     8.92179     0.26509     0.00001     0.00002
   -14.29782     1.12927     0.01466     8.94998     0.26649     0.00001     0.00002
   -14.29482     1.04551     0.01261     8.36578     0.25167     0.00001     0.00002
   -14.29182     1.03133     0.01181     8.30820     0.25106     0.00001     0.00003
   -14.28882     1.02152     0.01123     8.27604     0.25070     0.00001     0.00003
   -14.28582     1.12871     0.01157     9.19636     0.27978     0.00001     0.00003
   -14.28282     1.48020     0.01382    12.16383     0.37123     0.00001     0.00004
   -14.27982     2.38516     0.03115    20.07261     0.57380     0.00003     0.00007
   -14.27682     1.57691     0.02924    13.58122     0.35871     0.00003     0.00008
   -14.27382     1.24415     0.02296    10.73566     0.28252     0.00003     0.00007
   -14.27082     0.90219     0.02020     7.70357     0.19671     0.00002     0.00006
   -14.26782     0.83329     0.02094     6.86036     0.17906     0.00001     0.00003
   -14.26482     1.40143     0.03502    11.29326     0.29863     0.00001     0.00003
   -14.26182     2.11381     0.05615    17.08686     0.44847     0.00002     0.00004
   -14.25882     2.66037     0.06678    21.86585     0.52031     0.00003     0.00008
   -14.25582     4.24138     0.09880    35.44361     0.80347     0.00007     0.00017
   -14.25282     5.73414     0.12633    48.66181     1.05042     0.00012     0.00030
   -14.24982     5.21038     0.10859    44.32811     0.93623     0.00011     0.00027
   -14.24682     1.82788     0.03701    15.37383     0.33306     0.00003     0.00008
   -14.24382     0.41065     0.00276     3.40858     0.09491     0.00000     0.00001
   -14.24082     0.47537     0.00466     3.77721     0.09346     0.00000     0.00001
