    # Energy          Mo          Au           S          Si           C           O
   -14.62782    -1.38530    -0.02036    -9.46346    -0.24812    -0.00000    -0.00001
   -14.62482    -1.46920    -0.02100   -10.04054    -0.26328    -0.00000    -0.00001
   -14.62182    -1.55314    -0.02163   -10.61795    -0.27842    -0.00000    -0.00001
   -14.61882    -1.68285    -0.02260   -11.52729    -0.30309    -0.00000    -0.00001
   -14.61582    -1.35970    -0.01948    -9.36712    -0.24900    -0.00000    -0.00001
   -14.61282    -0.66985    -0.01361    -4.52880    -0.11641    -0.00000    -0.00000
   -14.60982    -0.49187    -0.01227    -3.31570    -0.08467    -0.00000    -0.00000
   -14.60682    -0.44392    -0.01150    -2.98135    -0.07552    -0.00000    -0.00000
   -14.60382    -0.40458    -0.01084    -2.71039    -0.06822    -0.00000    -0.00000
   -14.60082    -0.22021    -0.00919    -1.43562    -0.03382    -0.00000    -0.00000
   -14.59782    -0.22421    -0.00921    -1.46256    -0.03447    -0.00000    -0.00000
   -14.59482    -0.22821    -0.00924    -1.48966    -0.03513    -0.00000    -0.00000
   -14.59182    -0.23220    -0.00927    -1.51668    -0.03578    -0.00000    -0.00000
   -14.58882    -0.23620    -0.00929    -1.54375    -0.03644    -0.00000    -0.00000
   -14.58582    -0.24019    -0.00931    -1.57082    -0.03709    -0.00000    -0.00000
   -14.58282    -0.24419    -0.00933    -1.59786    -0.03775    -0.00000    -0.00000
   -14.57982    -0.24817    -0.00934    -1.62493    -0.03841    -0.00000    -0.00000
   -14.57682    -0.39835    -0.01035    -2.67868    -0.06676    -0.00000    -0.00000
   -14.57382    -0.67124    -0.01311    -4.63271    -0.12205    -0.00000    -0.00001
   -14.57082    -0.66930    -0.01282    -4.61752    -0.12131    -0.00000    -0.00001
   -14.56782    -0.77851    -0.01329    -5.39033    -0.14235    -0.00000    -0.00001
   -14.56482    -1.38218    -0.01908    -9.62949    -0.25562    -0.00000    -0.00001
   -14.56182    -1.54455    -0.02102   -10.76735    -0.28610    -0.00000    -0.00001
   -14.55882    -1.93699    -0.02546   -13.47009    -0.35712    -0.00001    -0.00001
   -14.55582    -2.25532    -0.03031   -15.62731    -0.41193    -0.00001    -0.00001
   -14.55282    -2.03001    -0.02861   -14.06011    -0.36989    -0.00000    -0.00001
   -14.54982    -1.81807    -0.02516   -12.61129    -0.33246    -0.00000    -0.00001
   -14.54682    -1.60588    -0.02161   -11.16284    -0.29520    -0.00000    -0.00001
   -14.54382    -1.39355    -0.01795    -9.71408    -0.25803    -0.00000    -0.00001
   -14.54082    -1.20531    -0.01456    -8.43269    -0.22536    -0.00000    -0.00001
