  #K-Path    Energy        Mo        Au         S        Si         C         O
# Band-Index    1
    0.190  -15.0339     0.096     0.002     0.574     0.012     0.000     0.000
    0.171  -15.0305     0.094     0.002     0.574     0.011     0.000     0.000
    0.152  -15.0258     0.097     0.002     0.570     0.011     0.000     0.000
    0.133  -15.0199     0.097     0.001     0.576     0.012     0.000     0.000
    0.114  -15.0130     0.096     0.001     0.577     0.012     0.000     0.000
    0.095  -15.0052     0.094     0.001     0.578     0.012     0.000     0.000
    0.076  -14.9970     0.093     0.001     0.579     0.012     0.000     0.000
    0.057  -14.9889     0.090     0.001     0.583     0.013     0.000     0.000
    0.038  -14.9820     0.090     0.000     0.585     0.012     0.000     0.000
    0.019  -14.9786     0.093     0.000     0.584     0.013     0.000     0.000
    0.000  -14.9814     0.096     0.001     0.584     0.011     0.000     0.000
 
# Band-Index    5
    0.000  -14.9602     0.088     0.000     0.583     0.015     0.000     0.000
    0.019  -14.9538     0.090     0.000     0.585     0.014     0.000     0.000
    0.038  -14.9458     0.092     0.001     0.584     0.012     0.000     0.000
    0.057  -14.9457     0.093     0.001     0.581     0.012     0.000     0.000
    0.076  -14.9502     0.093     0.001     0.582     0.013     0.000     0.000
    0.095  -14.9564     0.092     0.002     0.582     0.011     0.000     0.000
    0.114  -14.9630     0.092     0.002     0.578     0.011     0.000     0.000
    0.133  -14.9693     0.093     0.002     0.583     0.011     0.000     0.000
    0.152  -14.9749     0.092     0.002     0.583     0.011     0.000     0.000
    0.171  -14.9795     0.092     0.002     0.578     0.011     0.000     0.000
    0.190  -14.9828     0.092     0.003     0.577     0.011     0.000     0.000
    0.209  -14.9849     0.093     0.003     0.577     0.011     0.000     0.000
    0.228  -14.9856     0.094     0.003     0.577     0.011     0.000     0.000
    0.228  -14.9856     0.094     0.003     0.577     0.011     0.000     0.000
    0.239  -14.9800     0.092     0.002     0.580     0.011     0.000     0.000
    0.250  -14.9669     0.095     0.002     0.578     0.010     0.000     0.000
    0.261  -14.9508     0.092     0.002     0.582     0.012     0.000     0.000
    0.272  -14.9333     0.091     0.002     0.583     0.012     0.000     0.000
    0.283  -14.9149     0.092     0.001     0.587     0.011     0.000     0.000
    0.294  -14.8960     0.092     0.001     0.586     0.011     0.000     0.000
    0.305  -14.8767     0.091     0.001     0.586     0.012     0.000     0.000
    0.316  -14.8574     0.093     0.001     0.589     0.012     0.000     0.000
    0.327  -14.8382     0.089     0.001     0.586     0.013     0.000     0.000
    0.338  -14.8196     0.091     0.001     0.589     0.012     0.000     0.000
    0.349  -14.8026     0.090     0.001     0.591     0.011     0.000     0.000
    0.360  -14.7916     0.092     0.001     0.589     0.012     0.000     0.000
    0.360  -14.7916     0.092     0.001     0.589     0.012     0.000     0.000
    0.382  -14.8088     0.093     0.001     0.592     0.012     0.000     0.000
    0.404  -14.8287     0.091     0.001     0.587     0.011     0.000     0.000
    0.426  -14.8475     0.091     0.001     0.591     0.011     0.000     0.000
    0.449  -14.8646     0.092     0.001     0.588     0.011     0.000     0.000
    0.471  -14.8801     0.093     0.001     0.587     0.011     0.000     0.000
    0.493  -14.8939     0.092     0.001     0.586     0.011     0.000     0.000
    0.515  -14.9059     0.094     0.001     0.587     0.011     0.000     0.000
    0.537  -14.9164     0.098     0.001     0.586     0.012     0.000     0.000
    0.559  -14.9256     0.093     0.001     0.586     0.012     0.000     0.000
    0.581  -14.9347     0.094     0.000     0.581     0.013     0.000     0.000
    0.603  -14.9471     0.094     0.000     0.584     0.013     0.000     0.000
    0.625  -14.9602     0.088     0.000     0.583     0.015     0.000     0.000
 
# Band-Index    6
    0.625  -14.9203     0.094     0.001     0.583     0.011     0.000     0.000
    0.603  -14.9138     0.094     0.001     0.585     0.012     0.000     0.000
    0.581  -14.8958     0.094     0.001     0.581     0.013     0.000     0.000
    0.559  -14.8757     0.090     0.001     0.586     0.014     0.000     0.000
    0.537  -14.8595     0.090     0.001     0.591     0.014     0.000     0.000
    0.515  -14.8465     0.088     0.001     0.590     0.015     0.000     0.000
    0.493  -14.8344     0.090     0.001     0.593     0.015     0.000     0.000
    0.471  -14.8218     0.087     0.001     0.597     0.013     0.000     0.000
    0.449  -14.8084     0.089     0.001     0.595     0.013     0.000     0.000
    0.426  -14.7941     0.089     0.001     0.597     0.014     0.000     0.000
    0.404  -14.7797     0.087     0.001     0.600     0.014     0.000     0.000
    0.382  -14.7687     0.088     0.000     0.601     0.015     0.000     0.000
    0.360  -14.7736     0.084     0.000     0.597     0.014     0.000     0.000
    0.360  -14.7736     0.084     0.000     0.597     0.014     0.000     0.000
    0.349  -14.7664     0.086     0.000     0.599     0.015     0.000     0.000
    0.338  -14.7557     0.088     0.000     0.599     0.015     0.000     0.000
    0.327  -14.7440     0.091     0.000     0.600     0.014     0.000     0.000
    0.316  -14.7319     0.090     0.000     0.596     0.014     0.000     0.000
    0.305  -14.7194     0.091     0.000     0.594     0.014     0.000     0.000
    0.294  -14.7067     0.089     0.000     0.595     0.013     0.000     0.000
    0.283  -14.6937     0.091     0.000     0.596     0.012     0.000     0.000
    0.272  -14.6807     0.090     0.000     0.595     0.012     0.000     0.000
    0.261  -14.6677     0.089     0.000     0.593     0.012     0.000     0.000
    0.250  -14.6552     0.091     0.000     0.596     0.013     0.000     0.000
    0.239  -14.6441     0.092     0.000     0.594     0.013     0.000     0.000
    0.228  -14.6385     0.086     0.001     0.594     0.015     0.000     0.000
    0.228  -14.6385     0.086     0.001     0.594     0.015     0.000     0.000
    0.209  -14.6623     0.090     0.001     0.593     0.012     0.000     0.000
    0.190  -14.6916     0.089     0.001     0.592     0.013     0.000     0.000
    0.171  -14.7209     0.091     0.002     0.591     0.012     0.000     0.000
    0.152  -14.7498     0.092     0.002     0.592     0.013     0.000     0.000
    0.133  -14.7784     0.092     0.002     0.589     0.013     0.000     0.000
    0.114  -14.8063     0.092     0.001     0.590     0.012     0.000     0.000
    0.095  -14.8337     0.093     0.001     0.587     0.011     0.000     0.000
    0.076  -14.8602     0.093     0.001     0.588     0.011     0.000     0.000
    0.057  -14.8851     0.091     0.001     0.588     0.013     0.000     0.000
    0.038  -14.9060     0.094     0.001     0.582     0.012     0.000     0.000
    0.019  -14.9176     0.093     0.001     0.580     0.012     0.000     0.000
    0.000  -14.9203     0.094     0.001     0.583     0.011     0.000     0.000
 
# Band-Index    7
    0.000  -14.8165     0.100     0.000     0.585     0.009     0.000     0.000
    0.019  -14.8141     0.099     0.000     0.584     0.009     0.000     0.000
    0.038  -14.8071     0.098     0.000     0.585     0.009     0.000     0.000
    0.057  -14.7957     0.100     0.001     0.587     0.011     0.000     0.000
    0.076  -14.7804     0.096     0.001     0.589     0.011     0.000     0.000
    0.095  -14.7621     0.094     0.001     0.587     0.012     0.000     0.000
    0.114  -14.7413     0.092     0.001     0.589     0.013     0.000     0.000
    0.133  -14.7188     0.091     0.001     0.595     0.014     0.000     0.000
    0.152  -14.6949     0.091     0.001     0.597     0.014     0.000     0.000
    0.171  -14.6703     0.090     0.001     0.594     0.014     0.000     0.000
    0.190  -14.6456     0.088     0.001     0.596     0.013     0.000     0.000
    0.209  -14.6233     0.086     0.000     0.601     0.013     0.000     0.000
    0.228  -14.6258     0.091     0.001     0.604     0.015     0.000     0.000
    0.228  -14.6258     0.091     0.001     0.604     0.015     0.000     0.000
    0.239  -14.6276     0.086     0.001     0.602     0.014     0.000     0.000
    0.250  -14.6332     0.090     0.001     0.605     0.013     0.000     0.000
    0.261  -14.6412     0.090     0.001     0.601     0.014     0.000     0.000
    0.272  -14.6504     0.089     0.001     0.600     0.016     0.000     0.000
    0.283  -14.6602     0.090     0.001     0.595     0.016     0.000     0.000
    0.294  -14.6703     0.090     0.001     0.594     0.015     0.000     0.000
    0.305  -14.6803     0.088     0.001     0.597     0.016     0.000     0.000
    0.316  -14.6901     0.090     0.001     0.599     0.016     0.000     0.000
    0.327  -14.6995     0.089     0.001     0.596     0.016     0.000     0.000
    0.338  -14.7081     0.088     0.002     0.595     0.014     0.000     0.000
    0.349  -14.7153     0.088     0.002     0.597     0.013     0.000     0.000
    0.360  -14.7195     0.087     0.002     0.594     0.015     0.000     0.000
    0.360  -14.7195     0.087     0.002     0.594     0.015     0.000     0.000
    0.382  -14.7052     0.088     0.001     0.596     0.017     0.000     0.000
    0.404  -14.6696     0.087     0.001     0.601     0.015     0.000     0.000
    0.426  -14.6303     0.084     0.001     0.600     0.016     0.000     0.000
    0.449  -14.6241     0.084     0.001     0.601     0.016     0.000     0.000
    0.471  -14.6619     0.087     0.001     0.602     0.014     0.000     0.000
    0.493  -14.7000     0.089     0.001     0.596     0.015     0.000     0.000
    0.515  -14.7361     0.089     0.001     0.596     0.014     0.000     0.000
    0.537  -14.7681     0.091     0.001     0.591     0.011     0.000     0.000
    0.559  -14.7928     0.096     0.001     0.590     0.013     0.000     0.000
    0.581  -14.8078     0.097     0.001     0.592     0.010     0.000     0.000
    0.603  -14.8147     0.102     0.000     0.587     0.009     0.000     0.000
    0.625  -14.8165     0.100     0.000     0.585     0.009     0.000     0.000
 
# Band-Index    8
    0.625  -14.6868     0.090     0.006     0.581     0.011     0.000     0.000
    0.603  -14.6814     0.089     0.006     0.583     0.012     0.000     0.000
    0.581  -14.6665     0.091     0.005     0.584     0.012     0.000     0.000
    0.559  -14.6442     0.091     0.005     0.588     0.012     0.000     0.000
    0.537  -14.6171     0.094     0.004     0.589     0.013     0.000     0.000
    0.515  -14.5876     0.091     0.004     0.588     0.012     0.000     0.000
    0.493  -14.5601     0.091     0.003     0.593     0.013     0.000     0.000
    0.471  -14.5556     0.091     0.002     0.595     0.014     0.000     0.000
    0.449  -14.5858     0.089     0.001     0.599     0.015     0.000     0.000
    0.426  -14.5799     0.084     0.000     0.609     0.016     0.000     0.000
    0.404  -14.5418     0.086     0.001     0.610     0.014     0.000     0.000
    0.382  -14.5052     0.087     0.001     0.605     0.014     0.000     0.000
    0.360  -14.4845     0.087     0.001     0.598     0.015     0.000     0.000
    0.360  -14.4845     0.087     0.001     0.598     0.015     0.000     0.000
    0.349  -14.4869     0.084     0.001     0.601     0.014     0.000     0.000
    0.338  -14.4948     0.085     0.000     0.603     0.014     0.000     0.000
    0.327  -14.5048     0.085     0.000     0.602     0.015     0.000     0.000
    0.316  -14.5158     0.085     0.000     0.602     0.015     0.000     0.000
    0.305  -14.5277     0.086     0.000     0.603     0.015     0.000     0.000
    0.294  -14.5401     0.083     0.000     0.611     0.016     0.000     0.000
    0.283  -14.5529     0.081     0.000     0.607     0.016     0.000     0.000
    0.272  -14.5659     0.082     0.000     0.609     0.016     0.000     0.000
    0.261  -14.5788     0.079     0.000     0.610     0.018     0.000     0.000
    0.250  -14.5914     0.081     0.000     0.611     0.017     0.000     0.000
    0.239  -14.6023     0.081     0.000     0.617     0.016     0.000     0.000
    0.228  -14.6074     0.084     0.000     0.614     0.016     0.000     0.000
    0.228  -14.6074     0.084     0.000     0.614     0.016     0.000     0.000
    0.209  -14.5986     0.081     0.001     0.612     0.017     0.000     0.000
    0.190  -14.5696     0.081     0.001     0.608     0.016     0.000     0.000
    0.171  -14.5406     0.085     0.001     0.605     0.015     0.000     0.000
    0.152  -14.5359     0.083     0.001     0.603     0.014     0.000     0.000
    0.133  -14.5563     0.085     0.001     0.604     0.014     0.000     0.000
    0.114  -14.5820     0.090     0.002     0.597     0.012     0.000     0.000
    0.095  -14.6083     0.091     0.003     0.592     0.012     0.000     0.000
    0.076  -14.6331     0.090     0.004     0.591     0.011     0.000     0.000
    0.057  -14.6547     0.090     0.005     0.591     0.012     0.000     0.000
    0.038  -14.6718     0.092     0.005     0.587     0.011     0.000     0.000
    0.019  -14.6829     0.089     0.006     0.585     0.011     0.000     0.000
    0.000  -14.6868     0.090     0.006     0.581     0.011     0.000     0.000
 
# Band-Index    9
    0.000  -14.3311     0.079     0.000     0.628     0.020     0.000     0.000
    0.019  -14.3364     0.081     0.000     0.629     0.020     0.000     0.000
    0.038  -14.3507     0.083     0.000     0.622     0.019     0.000     0.000
    0.057  -14.3712     0.082     0.000     0.623     0.018     0.000     0.000
    0.076  -14.3954     0.083     0.000     0.618     0.017     0.000     0.000
    0.095  -14.4219     0.082     0.000     0.618     0.017     0.000     0.000
    0.114  -14.4499     0.084     0.000     0.614     0.016     0.000     0.000
    0.133  -14.4788     0.085     0.000     0.613     0.016     0.000     0.000
    0.152  -14.5079     0.083     0.001     0.607     0.016     0.000     0.000
    0.171  -14.5257     0.084     0.001     0.607     0.014     0.000     0.000
    0.190  -14.5366     0.084     0.000     0.607     0.016     0.000     0.000
    0.209  -14.5546     0.082     0.001     0.599     0.016     0.000     0.000
    0.228  -14.5660     0.084     0.001     0.600     0.014     0.000     0.000
    0.228  -14.5660     0.084     0.001     0.600     0.014     0.000     0.000
    0.239  -14.5638     0.085     0.001     0.602     0.015     0.000     0.000
    0.250  -14.5580     0.086     0.001     0.599     0.015     0.000     0.000
    0.261  -14.5500     0.083     0.001     0.603     0.014     0.000     0.000
    0.272  -14.5410     0.085     0.001     0.604     0.015     0.000     0.000
    0.283  -14.5313     0.084     0.001     0.606     0.016     0.000     0.000
    0.294  -14.5215     0.085     0.000     0.604     0.015     0.000     0.000
    0.305  -14.5115     0.083     0.000     0.607     0.014     0.000     0.000
    0.316  -14.5016     0.084     0.000     0.609     0.014     0.000     0.000
    0.327  -14.4918     0.082     0.000     0.610     0.015     0.000     0.000
    0.338  -14.4823     0.082     0.000     0.613     0.016     0.000     0.000
    0.349  -14.4735     0.084     0.000     0.616     0.015     0.000     0.000
    0.360  -14.4670     0.082     0.000     0.616     0.016     0.000     0.000
    0.360  -14.4670     0.082     0.000     0.616     0.016     0.000     0.000
    0.382  -14.4597     0.085     0.000     0.615     0.014     0.000     0.000
    0.404  -14.4538     0.089     0.000     0.610     0.016     0.000     0.000
    0.426  -14.4594     0.087     0.001     0.610     0.015     0.000     0.000
    0.449  -14.4788     0.089     0.002     0.604     0.014     0.000     0.000
    0.471  -14.4988     0.088     0.002     0.601     0.012     0.000     0.000
