    # Energy          Mo          Au           S          Si           C           O
   -14.47470    -1.07645    -0.01159    -7.71188    -0.21174    -0.00000    -0.00000
   -14.47170    -1.22347    -0.01313    -8.77176    -0.24122    -0.00000    -0.00000
   -14.46870    -1.31870    -0.01441    -9.45546    -0.25983    -0.00000    -0.00000
   -14.46570    -1.44347    -0.01608   -10.35274    -0.28443    -0.00000    -0.00000
   -14.46270    -1.69237    -0.01947   -12.14626    -0.33382    -0.00000    -0.00000
   -14.45970    -1.44331    -0.01555   -10.40180    -0.28815    -0.00000    -0.00000
   -14.45670    -0.96032    -0.00777    -6.95077    -0.19408    -0.00000    -0.00000
   -14.45370    -0.83454    -0.00590    -6.05828    -0.17008    -0.00000    -0.00000
   -14.45070    -0.69190    -0.00461    -5.03898    -0.14228    -0.00000    -0.00000
   -14.44770    -0.67790    -0.00388    -4.96562    -0.14159    -0.00000    -0.00000
   -14.44470    -0.54155    -0.00296    -3.97606    -0.11390    -0.00000    -0.00000
   -14.44170    -0.23245    -0.00194    -1.71316    -0.04953    -0.00000    -0.00000
   -14.43870    -0.22806    -0.00187    -1.68322    -0.04878    -0.00000    -0.00000
   -14.43570    -0.22368    -0.00180    -1.65335    -0.04802    -0.00000    -0.00000
   -14.43270    -0.21931    -0.00173    -1.62351    -0.04727    -0.00000    -0.00000
   -14.42970    -0.21493    -0.00166    -1.59364    -0.04651    -0.00000    -0.00000
   -14.42670    -0.21057    -0.00159    -1.56373    -0.04575    -0.00000    -0.00000
   -14.42370    -0.23381    -0.00178    -1.74459    -0.05113    -0.00000    -0.00000
   -14.42070    -0.25955    -0.00199    -1.94471    -0.05709    -0.00000    -0.00000
   -14.41770    -0.27899    -0.00204    -2.10401    -0.06215    -0.00000    -0.00000
   -14.41470    -0.30591    -0.00230    -2.31124    -0.06825    -0.00000    -0.00000
   -14.41170    -0.33330    -0.00258    -2.52161    -0.07440    -0.00000    -0.00000
   -14.40870    -0.36073    -0.00287    -2.73170    -0.08054    -0.00000    -0.00000
   -14.40570    -0.46784    -0.00545    -3.52885    -0.10237    -0.00000    -0.00000
   -14.40270    -1.03835    -0.02070    -7.77211    -0.21906    -0.00000    -0.00000
   -14.39970    -1.60866    -0.03281   -12.01714    -0.33674    -0.00000    -0.00000
   -14.39670    -1.74659    -0.03434   -13.04939    -0.36589    -0.00000    -0.00000
   -14.39370    -1.86478    -0.03527   -13.93916    -0.39120    -0.00000    -0.00000
   -14.39070    -2.08115    -0.03891   -15.53701    -0.43491    -0.00000    -0.00000
   -14.38770    -2.09933    -0.03804   -15.67882    -0.43910    -0.00000    -0.00000
   -14.38470    -2.08404    -0.03642   -15.56878    -0.43598    -0.00000    -0.00000
   -14.38170    -2.06183    -0.03457   -15.39862    -0.43108    -0.00000    -0.00000
   -14.37870    -1.87771    -0.03154   -14.01826    -0.39191    -0.00000    -0.00000
   -14.37570    -1.47424    -0.02665   -10.99446    -0.30645    -0.00000    -0.00000
   -14.37270    -1.08328    -0.02000    -8.15378    -0.23200    -0.00000    -0.00000
   -14.36970    -0.87174    -0.01515    -6.60682    -0.19081    -0.00000    -0.00000
   -14.36670    -0.67121    -0.01023    -5.15899    -0.15335    -0.00000    -0.00000
   -14.36370    -0.59099    -0.00846    -4.56548    -0.13706    -0.00000    -0.00000
   -14.36070    -0.53743    -0.00736    -4.16602    -0.12592    -0.00000    -0.00000
   -14.35770    -0.50057    -0.00667    -3.88831    -0.11801    -0.00000    -0.00000
   -14.35470    -0.47261    -0.00615    -3.68004    -0.11221    -0.00000    -0.00000
   -14.35170    -0.48435    -0.00620    -3.78347    -0.11595    -0.00000    -0.00000
   -14.34870    -0.70432    -0.00949    -5.44702    -0.16262    -0.00000    -0.00000
   -14.34570    -0.96336    -0.01271    -7.41114    -0.21789    -0.00000    -0.00000
   -14.34270    -1.26794    -0.01524    -9.70507    -0.28086    -0.00000    -0.00000
   -14.33970    -1.38881    -0.01733   -10.58509    -0.30336    -0.00000    -0.00000
   -14.33670    -1.62896    -0.02169   -12.34043    -0.34859    -0.00000    -0.00000
   -14.33370    -2.04711    -0.02961   -15.35930    -0.42409    -0.00000    -0.00000
   -14.33070    -1.09778    -0.01385    -8.48294    -0.25014    -0.00000    -0.00000
   -14.32770    -1.07631    -0.01306    -8.35051    -0.24803    -0.00000    -0.00000
   -14.32470    -0.93032    -0.01238    -7.23064    -0.21283    -0.00000    -0.00000
   -14.32170    -0.92049    -0.01194    -7.17550    -0.21215    -0.00000    -0.00000
   -14.31870    -0.92017    -0.01169    -7.19084    -0.21329    -0.00000    -0.00000
   -14.31570    -1.00099    -0.01286    -7.82419    -0.23170    -0.00000    -0.00000
   -14.31270    -1.01054    -0.01279    -7.91534    -0.23487    -0.00000    -0.00000
   -14.30970    -1.00475    -0.01257    -7.89018    -0.23452    -0.00000    -0.00000
   -14.30670    -1.13560    -0.01578    -8.91362    -0.26429    -0.00000    -0.00000
   -14.30370    -1.13305    -0.01518    -8.92789    -0.26542    -0.00000    -0.00000
   -14.30070    -1.13039    -0.01463    -8.94092    -0.26650    -0.00000    -0.00000
   -14.29770    -1.12780    -0.01410    -8.95542    -0.26747    -0.00000    -0.00000
   -14.29470    -1.04243    -0.01190    -8.37176    -0.25320    -0.00000    -0.00000
   -14.29170    -1.02721    -0.01118    -8.29276    -0.25169    -0.00000    -0.00000
   -14.28870    -1.02239    -0.01060    -8.30035    -0.25278    -0.00000    -0.00000
   -14.28570    -1.22201    -0.01171    -9.98495    -0.30517    -0.00000    -0.00000
   -14.28270    -2.29930    -0.02814   -19.30625    -0.56308    -0.00000    -0.00000
   -14.27970    -1.47917    -0.02250   -12.56296    -0.34760    -0.00000    -0.00000
   -14.27670    -1.77571    -0.03735   -15.42775    -0.39570    -0.00000    -0.00000
   -14.27370    -1.21006    -0.02333   -10.44277    -0.27356    -0.00000    -0.00000
   -14.27070    -0.89622    -0.02064    -7.54997    -0.19562    -0.00000    -0.00000
   -14.26770    -0.81998    -0.02170    -6.65802    -0.17484    -0.00000    -0.00000
   -14.26470    -2.41553    -0.06095   -19.58939    -0.54548    -0.00000    -0.00000
   -14.26170    -1.80253    -0.04816   -14.47724    -0.36333    -0.00000    -0.00000
   -14.25870    -2.96966    -0.07189   -24.50466    -0.57719    -0.00000    -0.00000
   -14.25570    -4.48478    -0.10196   -37.45449    -0.84693    -0.00000    -0.00000
   -14.25270    -7.18745    -0.14832   -61.26990    -1.30747    -0.00000    -0.00001
   -14.24970    -4.45311    -0.09108   -37.71693    -0.78950    -0.00000    -0.00001
   -14.24670    -1.59212    -0.03230   -13.35085    -0.28975    -0.00000    -0.00000
   -14.24370    -0.34967    -0.00241    -2.89747    -0.08039    -0.00000    -0.00000
   -14.24070    -0.56249    -0.00648    -4.40629    -0.10162    -0.00000    -0.00000
   -14.23770    -2.59777    -0.03095   -21.38066    -0.42965    -0.00000    -0.00000
   -14.23470    -3.85514    -0.04887   -31.64340    -0.67272    -0.00000    -0.00000
   -14.23170    -2.38540    -0.03352   -19.54967    -0.44655    -0.00000    -0.00000
   -14.22870    -1.92207    -0.03012   -15.72994    -0.37631    -0.00000    -0.00000
   -14.22570    -1.34423    -0.02102   -10.96562    -0.28200    -0.00000    -0.00000
   -14.22270    -1.18254    -0.01805    -9.63477    -0.25809    -0.00000    -0.00000
   -14.21970    -1.10642    -0.01678    -9.01023    -0.24860    -0.00000    -0.00000
   -14.21670    -1.07385    -0.01591    -8.74348    -0.24750    -0.00000    -0.00000
   -14.21370    -1.14569    -0.01560    -9.32144    -0.27177    -0.00000    -0.00000
   -14.21070    -3.32981    -0.02572   -26.92638    -0.79514    -0.00000    -0.00000
   -14.20770    -2.38116    -0.02183   -19.28647    -0.57836    -0.00000    -0.00000
   -14.20470    -1.99278    -0.01910   -16.11059    -0.48218    -0.00000    -0.00000
   -14.20170    -1.60391    -0.01531   -12.90346    -0.38148    -0.00000    -0.00000
   -14.19870    -0.94293    -0.00899    -7.48609    -0.21386    -0.00000    -0.00000
   -14.19570    -0.68671    -0.00666    -5.35557    -0.14639    -0.00000    -0.00000
   -14.19270    -0.53877    -0.00530    -4.10708    -0.10732    -0.00000    -0.00000
   -14.18970    -0.59719    -0.00585    -4.55752    -0.11970    -0.00000    -0.00000
   -14.18670    -0.65563    -0.00638    -5.00776    -0.13210    -0.00000    -0.00000
   -14.18370    -0.71405    -0.00690    -5.45834    -0.14450    -0.00000    -0.00000
   -14.18070    -0.88520    -0.00776    -6.88952    -0.18718    -0.00000    -0.00000
   -14.17770    -1.28691    -0.01056    -9.88174    -0.25964    -0.00000    -0.00000
   -14.17470    -1.22975    -0.00993    -9.52740    -0.25471    -0.00000    -0.00000
   -14.17170    -1.19474    -0.00947    -9.33861    -0.25326    -0.00000    -0.00000
   -14.16870    -1.28497    -0.01006   -10.07161    -0.27392    -0.00000    -0.00000
   -14.16570    -1.42938    -0.01076   -11.26814    -0.30706    -0.00000    -0.00000
   -14.16270    -1.86244    -0.01380   -14.77289    -0.40301    -0.00000    -0.00000
   -14.15970    -2.14758    -0.01626   -17.03484    -0.45955    -0.00000    -0.00000
   -14.15670    -1.64461    -0.01259   -13.05730    -0.35212    -0.00000    -0.00000
   -14.15370    -1.75565    -0.01383   -13.88082    -0.36923    -0.00000    -0.00001
   -14.15070    -1.33062    -0.01036   -10.46555    -0.27360    -0.00000    -0.00000
   -14.14770    -1.33635    -0.01063   -10.48042    -0.27029    -0.00000    -0.00000
   -14.14470    -1.06257    -0.00843    -8.33363    -0.21436    -0.00000    -0.00000
   -14.14170    -0.79036    -0.00624    -6.18586    -0.15793    -0.00000    -0.00000
   -14.13870    -0.66323    -0.00530    -5.19060    -0.13214    -0.00000    -0.00000
   -14.13570    -0.67698    -0.00555    -5.31397    -0.13576    -0.00000    -0.00000
   -14.13270    -0.68882    -0.00574    -5.43808    -0.14022    -0.00000    -0.00000
   -14.12970    -0.69870    -0.00586    -5.56293    -0.14549    -0.00000    -0.00000
   -14.12670    -0.10827    -0.00101    -0.85433    -0.02183    -0.00000    -0.00000
   -14.12370     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.12070    -0.43147    -0.04677    -3.70261    -0.05098    -0.00000    -0.00000
   -14.11770    -2.02401    -0.08457   -16.98407    -0.36802    -0.00000    -0.00001
   -14.11470    -2.12248    -0.08680   -18.06437    -0.40844    -0.00000    -0.00001
   -14.11170    -3.36781    -0.13168   -29.07519    -0.68307    -0.00001    -0.00002
   -14.10870    -5.44165    -0.19099   -46.85520    -1.13200    -0.00001    -0.00003
   -14.10570    -5.48816    -0.19359   -47.27211    -1.13591    -0.00001    -0.00003
   -14.10270    -3.25342    -0.10505   -27.90356    -0.68456    -0.00001    -0.00002
   -14.09970    -1.11763    -0.05348    -9.51719    -0.22063    -0.00000    -0.00000
   -14.09670    -0.40320    -0.02544    -3.38771    -0.06780    -0.00000    -0.00000
   -14.09370    -0.29315    -0.01905    -2.45559    -0.04807    -0.00000    -0.00000
   -14.09070    -0.97776    -0.02634    -8.37827    -0.20192    -0.00000    -0.00000
   -14.08770    -2.23538    -0.05419   -19.06764    -0.47885    -0.00000    -0.00001
   -14.08470    -1.45306    -0.03611   -12.35200    -0.30556    -0.00000    -0.00000
   -14.08170    -1.66357    -0.04358   -14.10681    -0.34524    -0.00000    -0.00000
   -14.07870    -2.23831    -0.06675   -18.84712    -0.44967    -0.00000    -0.00000
   -14.07570    -2.38819    -0.07196   -20.09428    -0.48378    -0.00000    -0.00000
   -14.07270    -1.83099    -0.05316   -15.42409    -0.37805    -0.00000    -0.00000
   -14.06970    -1.56453    -0.04613   -13.19118    -0.32362    -0.00000    -0.00000
   -14.06670    -1.61258    -0.04990   -13.56558    -0.32907    -0.00000    -0.00000
   -14.06370    -1.86789    -0.05981   -15.67598    -0.37262    -0.00000    -0.00000
   -14.06070    -2.16552    -0.09191   -18.12743    -0.40169    -0.00000    -0.00000
   -14.05770    -2.87117    -0.15375   -23.93737    -0.48047    -0.00000    -0.00000
   -14.05470    -2.50712    -0.14924   -20.99264    -0.41554    -0.00000    -0.00000
   -14.05170    -2.80712    -0.15592   -23.55949    -0.47725    -0.00000    -0.00000
   -14.04870    -4.47077    -0.19639   -37.67779    -0.83221    -0.00000    -0.00000
   -14.04570    -3.39216    -0.14867   -28.59031    -0.63438    -0.00000    -0.00000
   -14.04270    -4.24968    -0.18298   -35.92320    -0.80063    -0.00000    -0.00000
   -14.03970    -2.18063    -0.10555   -18.01415    -0.35977    -0.00000    -0.00000
   -14.03670    -1.97937    -0.09001   -16.21874    -0.32832    -0.00000    -0.00000
   -14.03370    -1.03369    -0.05376    -8.48688    -0.15934    -0.00000    -0.00000
   -14.03070    -0.80228    -0.04079    -6.55284    -0.12116    -0.00000    -0.00000
   -14.02770    -0.63083    -0.03168    -5.12320    -0.09294    -0.00000    -0.00000
   -14.02470    -0.56398    -0.02760    -4.56590    -0.08238    -0.00000    -0.00000
   -14.02170    -0.49706    -0.02340    -4.00849    -0.07190    -0.00000    -0.00000
   -14.01870    -0.46674    -0.02217    -3.75574    -0.06665    -0.00000    -0.00000
   -14.01570    -0.63148    -0.03569    -5.13444    -0.09673    -0.00000    -0.00000
   -14.01270    -1.04822    -0.06885    -8.57207    -0.16721    -0.00000    -0.00000
