    # Energy          Mo          Au           S          Si           C           O
   -14.62470     1.51018     0.02125    10.32115     0.27048     0.00000     0.00000
   -14.62170     1.59490     0.02186    10.90389     0.28573     0.00000     0.00000
   -14.61870     1.60376     0.02154    11.00347     0.29010     0.00000     0.00000
   -14.61570     0.82595     0.01470     5.59256     0.14413     0.00000     0.00000
   -14.61270     0.57748     0.01287     3.89317     0.09949     0.00000     0.00000
   -14.60970     0.46391     0.01186     3.11797     0.07916     0.00000     0.00000
   -14.60670     0.42437     0.01119     2.84533     0.07180     0.00000     0.00000
   -14.60370     0.38624     0.01062     2.58305     0.06474     0.00000     0.00000
   -14.60070     0.22166     0.00918     1.44482     0.03400     0.00000     0.00000
   -14.59770     0.22565     0.00921     1.47177     0.03465     0.00000     0.00000
   -14.59470     0.22965     0.00923     1.49872     0.03530     0.00000     0.00000
   -14.59170     0.23364     0.00926     1.52576     0.03595     0.00000     0.00000
   -14.58870     0.23762     0.00928     1.55277     0.03661     0.00000     0.00000
   -14.58570     0.24162     0.00930     1.57977     0.03726     0.00000     0.00000
   -14.58270     0.24559     0.00932     1.60681     0.03791     0.00000     0.00000
   -14.57970     0.36632     0.01008     2.45593     0.06092     0.00000     0.00000
   -14.57670     0.40911     0.01040     2.75441     0.06874     0.00000     0.00000
   -14.57370     0.66259     0.01286     4.57042     0.12001     0.00000     0.00000
   -14.57070     0.66533     0.01265     4.58901     0.12027     0.00000     0.00000
   -14.56770     0.87214     0.01394     6.05010     0.16005     0.00000     0.00000
   -14.56470     1.49494     0.02025    10.42466     0.27700     0.00000     0.00000
   -14.56170     1.60444     0.02163    11.19354     0.29775     0.00000     0.00000
   -14.55870     2.24488     0.02910    15.57366     0.41135     0.00000     0.00000
   -14.55570     2.17530     0.02992    15.06682     0.39640     0.00000     0.00000
   -14.55270     1.95023     0.02737    13.51292     0.35540     0.00000     0.00000
   -14.54970     1.73819     0.02388    12.06401     0.31807     0.00000     0.00000
   -14.54670     1.52588     0.02028    10.61521     0.28088     0.00000     0.00000
   -14.54370     1.31342     0.01659     9.16704     0.24383     0.00000     0.00000
   -14.54070     1.15999     0.01382     8.12260     0.21721     0.00000     0.00000
   -14.53770     1.03488     0.01176     7.26463     0.19508     0.00000     0.00000
   -14.53470     0.90981     0.00973     6.40685     0.17292     0.00000     0.00000
   -14.53170     0.72067     0.00681     5.10244     0.13897     0.00000     0.00000
   -14.52870     0.65683     0.00522     4.67863     0.12855     0.00000     0.00000
   -14.52570     0.75434     0.00465     5.40804     0.14960     0.00000     0.00000
   -14.52270     0.56760     0.00324     4.09473     0.11455     0.00000     0.00000
   -14.51970     0.46393     0.00284     3.35493     0.09436     0.00000     0.00000
   -14.51670     0.56742     0.00382     4.08356     0.11368     0.00000     0.00000
   -14.51370     0.58459     0.00407     4.20341     0.11677     0.00000     0.00000
   -14.51070     0.60175     0.00432     4.32270     0.11983     0.00000     0.00000
   -14.50770     0.61898     0.00458     4.44216     0.12291     0.00000     0.00000
   -14.50470     0.63619     0.00484     4.56203     0.12596     0.00000     0.00000
   -14.50170     0.65348     0.00511     4.68160     0.12901     0.00000     0.00000
   -14.49870     0.67434     0.00548     4.82782     0.13281     0.00000     0.00000
   -14.49570     0.69365     0.00587     4.96512     0.13648     0.00000     0.00000
   -14.49270     0.70097     0.00614     5.02349     0.13830     0.00000     0.00000
   -14.48970     0.72739     0.00666     5.21176     0.14332     0.00000     0.00000
   -14.48670     0.79387     0.00765     5.67734     0.15557     0.00000     0.00000
   -14.48370     0.86550     0.00875     6.17876     0.16874     0.00000     0.00000
   -14.48070     0.91209     0.00949     6.50718     0.17742     0.00000     0.00000
   -14.47770     0.94985     0.01003     6.78693     0.18543     0.00000     0.00000
   -14.47470     1.08056     0.01164     7.74157     0.21256     0.00000     0.00000
   -14.47170     1.22543     0.01317     8.78584     0.24156     0.00000     0.00000
   -14.46870     1.32069     0.01445     9.46951     0.26021     0.00000     0.00000
   -14.46570     1.44811     0.01616    10.38750     0.28537     0.00000     0.00000
   -14.46270     1.69743     0.01956    12.18305     0.33483     0.00000     0.00000
   -14.45970     1.43266     0.01540    10.32660     0.28607     0.00000     0.00000
   -14.45670     0.95195     0.00763     6.89076     0.19244     0.00000     0.00000
   -14.45370     0.83171     0.00587     6.03829     0.16953     0.00000     0.00000
   -14.45070     0.68917     0.00459     5.01925     0.14175     0.00000     0.00000
   -14.44770     0.69217     0.00392     5.07130     0.14464     0.00000     0.00000
   -14.44470     0.52583     0.00291     3.86100     0.11063     0.00000     0.00000
   -14.44170     0.23236     0.00194     1.71257     0.04951     0.00000     0.00000
   -14.43870     0.22797     0.00187     1.68274     0.04876     0.00000     0.00000
   -14.43570     0.22359     0.00180     1.65287     0.04801     0.00000     0.00000
   -14.43270     0.21921     0.00173     1.62294     0.04725     0.00000     0.00000
   -14.42970     0.21484     0.00166     1.59294     0.04649     0.00000     0.00000
   -14.42670     0.21048     0.00159     1.56308     0.04573     0.00000     0.00000
