  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.272  -14.5656     0.085     0.000     0.601     0.015
    0.283  -14.5526     0.087     0.000     0.604     0.015
    0.294  -14.5398     0.083     0.000     0.609     0.016
    0.305  -14.5273     0.081     0.000     0.608     0.016
    0.316  -14.5155     0.082     0.000     0.607     0.016
    0.327  -14.5044     0.080     0.000     0.611     0.017
    0.338  -14.4944     0.081     0.000     0.612     0.017
    0.349  -14.4863     0.082     0.000     0.615     0.016
    0.360  -14.4839     0.083     0.000     0.615     0.016
    0.360  -14.4839     0.083     0.000     0.615     0.016
    0.382  -14.5048     0.081     0.001     0.610     0.017
    0.404  -14.5415     0.081     0.001     0.608     0.016
    0.426  -14.5797     0.085     0.001     0.605     0.015
    0.449  -14.5856     0.083     0.001     0.604     0.014
    0.471  -14.5553     0.085     0.001     0.604     0.014
    0.493  -14.5599     0.090     0.002     0.596     0.012
    0.515  -14.5874     0.091     0.003     0.592     0.012
    0.537  -14.6170     0.090     0.004     0.592     0.011
    0.559  -14.6441     0.090     0.005     0.590     0.012
    0.581  -14.6664     0.093     0.005     0.588     0.011
    0.603  -14.6814     0.089     0.006     0.586     0.011
    0.625  -14.6868     0.090     0.006     0.581     0.011
 
# Band-Index    8
    0.625  -14.3304     0.079     0.000     0.629     0.020
    0.603  -14.3366     0.081     0.000     0.628     0.020
    0.581  -14.3546     0.083     0.000     0.622     0.019
    0.559  -14.3820     0.082     0.000     0.622     0.018
    0.537  -14.4151     0.083     0.000     0.617     0.017
    0.515  -14.4511     0.082     0.000     0.618     0.017
    0.493  -14.4857     0.084     0.000     0.613     0.016
    0.471  -14.4985     0.085     0.000     0.613     0.016
    0.449  -14.4785     0.083     0.001     0.609     0.016
    0.426  -14.4590     0.084     0.001     0.607     0.014
    0.404  -14.4533     0.084     0.000     0.605     0.016
    0.382  -14.4592     0.083     0.001     0.600     0.016
    0.360  -14.4666     0.084     0.001     0.599     0.014
    0.360  -14.4666     0.084     0.001     0.599     0.014
    0.349  -14.4731     0.085     0.001     0.603     0.015
    0.338  -14.4819     0.086     0.001     0.601     0.015
    0.327  -14.4915     0.083     0.001     0.603     0.014
    0.316  -14.5013     0.085     0.001     0.605     0.015
    0.305  -14.5112     0.084     0.001     0.604     0.016
    0.294  -14.5211     0.085     0.000     0.605     0.014
    0.283  -14.5310     0.082     0.000     0.610     0.014
    0.272  -14.5406     0.084     0.000     0.611     0.014
    0.261  -14.5497     0.083     0.000     0.610     0.015
    0.250  -14.5577     0.082     0.000     0.612     0.016
    0.239  -14.5635     0.083     0.000     0.616     0.015
    0.228  -14.5657     0.082     0.000     0.617     0.016
    0.228  -14.5657     0.082     0.000     0.617     0.016
    0.209  -14.5544     0.085     0.000     0.614     0.014
    0.190  -14.5364     0.089     0.000     0.610     0.016
    0.171  -14.5254     0.087     0.001     0.610     0.015
    0.152  -14.5074     0.089     0.002     0.603     0.014
    0.133  -14.4783     0.088     0.002     0.602     0.012
    0.114  -14.4494     0.083     0.001     0.611     0.015
    0.095  -14.4214     0.082     0.001     0.612     0.017
    0.076  -14.3948     0.083     0.000     0.619     0.017
    0.057  -14.3706     0.082     0.000     0.618     0.018
    0.038  -14.3501     0.081     0.000     0.624     0.019
    0.019  -14.3357     0.079     0.000     0.623     0.020
    0.000  -14.3304     0.079     0.000     0.629     0.020
 
# Band-Index    9
    0.000  -14.2974     0.067     0.001     0.613     0.013
    0.019  -14.2976     0.072     0.000     0.620     0.016
    0.038  -14.3058     0.076     0.001     0.624     0.022
    0.057  -14.3214     0.075     0.001     0.621     0.019
    0.076  -14.3415     0.077     0.001     0.617     0.015
    0.095  -14.3643     0.075     0.001     0.613     0.015
    0.114  -14.3880     0.077     0.002     0.610     0.016
    0.133  -14.4106     0.077     0.002     0.609     0.016
    0.152  -14.4278     0.081     0.002     0.607     0.015
    0.171  -14.4312     0.083     0.003     0.605     0.016
    0.190  -14.4169     0.084     0.003     0.606     0.014
    0.209  -14.3948     0.086     0.002     0.605     0.012
    0.228  -14.3807     0.088     0.002     0.610     0.012
    0.228  -14.3807     0.088     0.002     0.610     0.012
    0.239  -14.3804     0.088     0.002     0.609     0.011
    0.250  -14.3795     0.087     0.002     0.608     0.011
    0.261  -14.3781     0.087     0.002     0.608     0.012
    0.272  -14.3764     0.089     0.002     0.610     0.014
    0.283  -14.3749     0.087     0.002     0.606     0.014
    0.294  -14.3762     0.081     0.001     0.612     0.015
    0.305  -14.3842     0.080     0.001     0.611     0.018
    0.316  -14.3970     0.078     0.001     0.613     0.016
    0.327  -14.4117     0.077     0.000     0.615     0.016
    0.338  -14.4270     0.078     0.000     0.615     0.016
    0.349  -14.4414     0.081     0.000     0.606     0.018
    0.360  -14.4495     0.076     0.000     0.611     0.018
    0.360  -14.4495     0.076     0.000     0.611     0.018
    0.382  -14.4398     0.078     0.000     0.610     0.017
    0.404  -14.4215     0.078     0.000     0.610     0.017
    0.426  -14.4042     0.077     0.001     0.614     0.018
    0.449  -14.3884     0.079     0.001     0.615     0.017
    0.471  -14.3740     0.081     0.001     0.620     0.017
    0.493  -14.3600     0.078     0.001     0.622     0.016
