    # Energy          Mo          Au           S          Si
   -14.22309     1.17497     0.01808     9.56872     0.25525
   -14.22009     1.10399     0.01692     8.98649     0.24670
   -14.21709     1.05846     0.01596     8.61454     0.24266
   -14.21409     1.10755     0.01563     9.00992     0.26112
   -14.21109     2.59106     0.02188    20.93962     0.61418
   -14.20809     2.72716     0.02416    22.08547     0.66169
   -14.20509     2.07456     0.01998    16.78285     0.50307
   -14.20209     1.77520     0.01722    14.31213     0.42591
   -14.19909     1.14490     0.01110     9.13828     0.26498
   -14.19609     0.72126     0.00703     5.65302     0.15635
   -14.19309     0.56328     0.00561     4.32018     0.11431
   -14.19009     0.58277     0.00581     4.45014     0.11694
   -14.18709     0.64186     0.00636     4.90573     0.12950
   -14.18409     0.70092     0.00689     5.36172     0.14205
   -14.18109     0.86504     0.00780     6.73442     0.18313
   -14.17809     1.31147     0.01107    10.05997     0.26364
   -14.17509     1.24775     0.01029     9.65147     0.25708
   -14.17209     1.18812     0.00961     9.27966     0.25164
   -14.16909     1.26643     0.01007     9.92388     0.26981
   -14.16609     1.37409     0.01062    10.81313     0.29436
   -14.16309     1.73326     0.01300    13.73751     0.37506
   -14.16009     2.14081     0.01625    16.99595     0.46007
   -14.15709     1.69721     0.01308    13.48954     0.36438
   -14.15409     1.69546     0.01340    13.42500     0.35833
   -14.15109     1.36093     0.01073    10.71932     0.28113
   -14.14809     1.32499     0.01061    10.40113     0.26875
   -14.14509     1.11564     0.00896     8.75484     0.22531
   -14.14209     0.84663     0.00678     6.63471     0.16972
   -14.13909     0.68193     0.00551     5.33911     0.13590
   -14.13609     0.67661     0.00560     5.31060     0.13548
   -14.13309     0.68846     0.00581     5.43108     0.13967
   -14.13009     0.69839     0.00595     5.55264     0.14468
   -14.12709     0.17137     0.00159     1.35464     0.03470
   -14.12409     0.00000     0.00000     0.00000     0.00000
   -14.12109     0.43816     0.04726     3.75673     0.05162
   -14.11809     1.39343     0.06836    11.33347     0.22085
   -14.11509     2.07705     0.08703    17.69007     0.39676
   -14.11209     3.28214     0.13123    28.35843     0.66186
   -14.10909     4.95812     0.18624    42.79235     1.02003
   -14.10609     5.17539     0.17619    44.50798     1.07002
   -14.10309     3.52706     0.11105    30.23578     0.74076
   -14.10009     1.10127     0.05280     9.36572     0.21576
   -14.09709     0.63327     0.03267     5.37903     0.12102
   -14.09409     0.30605     0.01961     2.56357     0.05053
   -14.09109     0.87738     0.02451     7.50532     0.18001
   -14.08809     2.32349     0.05624    19.79828     0.49670
   -14.08509     1.71689     0.03878    14.66771     0.37276
   -14.08209     1.63379     0.04221    13.85278     0.34025
   -14.07909     2.24094     0.06588    18.86949     0.45188
   -14.07609     2.28058     0.06977    19.14537     0.45657
   -14.07309     2.00599     0.05772    16.92532     0.41711
   -14.07009     1.60378     0.04745    13.51753     0.33082
   -14.06709     1.61375     0.04995    13.57888     0.32904
   -14.06409     1.87289     0.06009    15.72694     0.37360
   -14.06109     2.11422     0.08725    17.71068     0.39491
   -14.05809     2.82129     0.15179    23.51873     0.47146
   -14.05509     2.49189     0.14836    20.86278     0.41465
   -14.05209     2.79161     0.15712    23.41094     0.47202
   -14.04909     4.13567     0.19195    34.83455     0.75563
   -14.04609     3.53532     0.15447    29.79962     0.66219
   -14.04309     4.05918     0.17387    34.29454     0.76482
   -14.04009     2.19594     0.10733    18.15744     0.36177
   -14.03709     1.89613     0.08918    15.57138     0.31171
   -14.03409     1.05300     0.05522     8.65381     0.16231
   -14.03109     0.82733     0.04241     6.76596     0.12512
   -14.02809     0.63685     0.03226     5.17656     0.09375
   -14.02509     0.56997     0.02819     4.61846     0.08317
   -14.02209     0.50299     0.02400     4.06019     0.07268
   -14.01909     0.46880     0.02243     3.77510     0.06688
   -14.01609     0.59725     0.03301     4.85138     0.09055
   -14.01309     1.02643     0.06733     8.39604     0.16344
   -14.01009     2.08967     0.12445    16.91930     0.34507
   -14.00709     6.43805     0.34317    53.06039     1.21661
   -14.00409     5.20678     0.20081    43.16913     1.04842
   -14.00109     3.16064     0.17391    25.86729     0.56327
   -13.99809     2.90578     0.16118    23.72425     0.51117
   -13.99509     2.21042     0.10846    17.98425     0.39283
   -13.99209     1.77142     0.08408    14.40543     0.31725
   -13.98909     1.84067     0.08055    14.91469     0.33074
   -13.98609     1.19917     0.05308     9.65700     0.19128
   -13.98309     0.87217     0.02978     6.88024     0.10289
   -13.98009     0.00000     0.00000     0.00000     0.00000
   -13.97709     0.36548     0.00705     2.85412     0.05609
   -13.97409     0.97511     0.01843     7.62030     0.15195
   -13.97109     1.06432     0.02010     8.33084     0.16953
   -13.96809     1.46579     0.04340    11.54439     0.23305
   -13.96509     3.44636     0.18855    27.52316     0.53037
   -13.96209     1.61086     0.05466    12.65254     0.24678
   -13.95909     1.61663     0.04803    12.64032     0.24654
   -13.95609     1.81630     0.04355    14.08611     0.27413
   -13.95309     2.21680     0.04458    17.10113     0.33385
   -13.95009     2.57878     0.04594    19.78073     0.38313
   -13.94709     2.36946     0.04582    17.94791     0.33126
   -13.94409     2.45895     0.04469    18.51527     0.34025
   -13.94109     3.07313     0.05900    23.03088     0.41990
   -13.93809     3.96198     0.10322    30.12485     0.56205
   -13.93509     2.74079     0.15281    22.40072     0.45883
   -13.93209     1.01153     0.04475     8.05904     0.15429
   -13.92909     1.03841     0.04665     8.26201     0.15419
   -13.92609     1.09770     0.04920     8.72345     0.16048
   -13.92309     1.17875     0.05328     9.36376     0.16919
   -13.92009     1.35325     0.06424    10.77048     0.18749
   -13.91709     1.55213     0.07668    12.37090     0.20869
   -13.91409     1.26417     0.06418    10.05829     0.16896
   -13.91109     1.53042     0.07706    12.15643     0.19934
   -13.90809     1.40200     0.07257    11.12137     0.18069
   -13.90509     1.26075     0.06690     9.98879     0.16132
   -13.90209     1.24542     0.07138     9.87609     0.16512
   -13.89909     1.17368     0.06970     9.28437     0.15414
   -13.89609     1.17296     0.07059     9.26928     0.15353
   -13.89309     1.17124     0.07142     9.24608     0.15252
   -13.89009     1.14854     0.07088     9.05055     0.14814
   -13.88709     1.13094     0.07073     8.89603     0.14453
   -13.88409     1.12284     0.07121     8.81555     0.14220
   -13.88109     1.11325     0.07203     8.69699     0.13626
   -13.87809     1.12322     0.07291     8.73344     0.13424
   -13.87509     1.15208     0.07463     8.93118     0.13554
   -13.87209     1.19912     0.07730     9.26373     0.13824
   -13.86909     1.20262     0.07801     9.27736     0.13716
   -13.86609     1.20977     0.07872     9.31969     0.13685
   -13.86309     1.21931     0.07958     9.38376     0.13706
   -13.86009     1.64335     0.10167    12.48375     0.16893
   -13.85709     1.17953     0.07870     9.06820     0.13387
   -13.85409     0.90822     0.06773     7.07849     0.10946
   -13.85109     0.96956     0.07190     7.54355     0.11613
   -13.84809     1.03112     0.07605     8.00831     0.12279
   -13.84509     1.23276     0.08892     9.51921     0.14291
   -13.84209     1.65989     0.11723    12.71427     0.18458
   -13.83909     2.24926     0.15403    17.08557     0.23952
   -13.83609     2.63619     0.17926    19.97806     0.27573
   -13.83309     1.82089     0.13540    14.04706     0.20494
   -13.83009     2.34143     0.13986    17.70856     0.22508
   -13.82709     1.90387     0.11241    14.42373     0.17789
   -13.82409     1.86553     0.10892    14.15180     0.17355
   -13.82109     1.67145     0.09341    12.67051     0.14898
   -13.81809     1.11231     0.05292     8.40672     0.09149
   -13.81509     0.82271     0.03383     6.22755     0.06615
   -13.81209     1.16648     0.05694     8.93123     0.10362
   -13.80909     3.11150     0.19623    23.93703     0.32514
   -13.80609     1.66700     0.08620    12.77309     0.16608
   -13.80309     1.71867     0.08380    13.14648     0.17304
   -13.80009     1.85632     0.08748    14.17494     0.18941
   -13.79709     1.89535     0.08620    14.44232     0.19358
   -13.79409     2.23873     0.10594    17.02240     0.23226
   -13.79109     2.64089     0.09421    19.74949     0.27597
   -13.78809     4.23971     0.12021    31.44742     0.44627
   -13.78509     3.08414     0.06948    22.53408     0.32662
   -13.78209     0.46455     0.00437     3.32288     0.04758
   -13.77909     0.00000     0.00000     0.00000     0.00000
   -13.77609     2.43595     0.06638    17.76974     0.25703
   -13.77309    14.25443     0.78643   106.72790     1.75389
   -13.77009     3.07760     0.12330    22.71849     0.36643
   -13.76709     2.87721     0.11262    21.24947     0.34716
   -13.76409     3.15660     0.13568    22.94526     0.33782
   -13.76109     4.96055     0.21359    35.76967     0.50230
   -13.75809     3.57637     0.15976    25.74499     0.34782
   -13.75509     2.36541     0.12445    17.15490     0.22591
   -13.75209     1.22202     0.06506     8.87908     0.11824
   -13.74909     0.24571     0.01230     1.77755     0.02402
   -13.74609     0.00000     0.00000     0.00000     0.00000
   -13.74309     0.00000     0.00000     0.00000     0.00000
   -13.74009     0.18434     0.00397     1.30421     0.01466
   -13.73709     0.44124     0.00944     3.11577     0.03522
   -13.73409     1.20226     0.03364     8.45038     0.10248
   -13.73109     3.47829     0.09331    24.24952     0.30391
   -13.72809     4.15851     0.11033    29.29443     0.39967
   -13.72509     2.69225     0.08863    19.01805     0.25821
   -13.72209     2.08504     0.05572    14.78535     0.20313
   -13.71909     2.15430     0.05862    15.35052     0.21166
   -13.71609     2.17487     0.05774    15.46780     0.21179
   -13.71309     2.60357     0.06360    18.41656     0.24488
   -13.71009     3.93850     0.08917    27.71434     0.35235
   -13.70709     1.64534     0.05805    11.72312     0.16268
   -13.70409     1.39912     0.05573    10.08113     0.14771
   -13.70109     3.50898     0.16357    25.88728     0.41844
   -13.69809     0.00000     0.00000     0.00000     0.00000
   -13.69509     0.10724     0.00164     0.75482     0.01008
   -13.69209     1.58016     0.02468    11.06456     0.14530
   -13.68909     1.91494     0.03746    13.33070     0.17411
   -13.68609     4.01239     0.08661    27.49645     0.33502
   -13.68309     6.70406     0.11113    43.84688     0.40068
   -13.68009     5.77074     0.14868    38.67687     0.39886
   -13.67709     5.15983     0.20675    36.44144     0.49115
   -13.67409     3.17004     0.14959    22.40212     0.26911
   -13.67109     2.20840     0.08695    15.46242     0.18475
   -13.66809     1.87282     0.07267    13.02916     0.15475
   -13.66509     2.13868     0.07405    14.68396     0.17262
   -13.66209     4.68103     0.10995    31.21577     0.32571
   -13.65909     2.97297     0.07919    19.65529     0.22282
   -13.65609     2.76596     0.08250    18.29742     0.20466
   -13.65309     3.25522     0.10950    21.60512     0.24451
   -13.65009     4.30404     0.16073    28.74150     0.33367
   -13.64709     2.97498     0.12175    19.95805     0.23288
   -13.64409     1.49427     0.05707    10.06776     0.11823
   -13.64109     2.51175     0.07398    16.96782     0.19577
   -13.63809     3.72318     0.12583    25.16883     0.24922
   -13.63509     4.07192     0.15216    27.46521     0.24781
   -13.63209     6.14225     0.22966    41.01121     0.33980
   -13.62909     3.98643     0.16067    26.64504     0.20525
   -13.62609     3.11199     0.13137    20.84002     0.14388
   -13.62309     2.77692     0.10878    18.45501     0.12199
   -13.62009     3.25853     0.12773    21.61989     0.14287
   -13.61709     5.12556     0.21168    33.84527     0.22336
   -13.61409     1.50161     0.03197    10.02827     0.08010
   -13.61109     1.29782     0.02055     8.70281     0.07565
   -13.60809     2.53159     0.06889    17.95059     0.21050
   -13.60509     2.18678     0.07128    15.15166     0.14608
   -13.60209     3.50205     0.13178    23.70847     0.18721
   -13.59909     3.64967     0.16179    24.25702     0.15386
   -13.59609     3.42982     0.12518    22.53993     0.13507
   -13.59309     2.94183     0.07542    19.26462     0.11750
   -13.59009     3.28251     0.05269    21.48056     0.13743
   -13.58709    11.83149     0.10137    77.53374     0.54877
   -13.58409     3.82369     0.03598    25.46385     0.21065
   -13.58109     1.90713     0.02623    12.90946     0.12699
   -13.57809     1.83267     0.04105    12.32973     0.11869
   -13.57509     1.42403     0.04226     9.56488     0.08911
   -13.57209     1.83043     0.05559    12.35260     0.12152
   -13.56909     5.86116     0.15321    39.73584     0.42719
   -13.56609     4.91361     0.14158    33.36805     0.35915
   -13.56309     5.69269     0.23752    39.18664     0.43969
   -13.56009     3.30392     0.11879    22.97916     0.27800
   -13.55709     2.95896     0.08423    20.99940     0.28335
   -13.55409     4.50417     0.09097    31.56093     0.41579
   -13.55109     1.76034     0.04422    12.17028     0.13056
   -13.54809     1.41348     0.04104     9.67367     0.09101
   -13.54509     1.24908     0.04263     8.45928     0.06830
   -13.54209     1.34546     0.05147     9.10512     0.07197
   -13.53909     1.29951     0.05867     8.81681     0.07323
   -13.53609     1.94862     0.08743    13.17996     0.10663
   -13.53309     2.57415     0.11504    17.31768     0.13864
   -13.53009     6.40841     0.24475    43.26933     0.30525
   -13.52709     4.21635     0.15204    28.32112     0.21979
   -13.52409     3.21245     0.12078    21.54070     0.17872
   -13.52109     2.60588     0.09804    17.46900     0.15816
   -13.51809     2.19315     0.08229    14.64336     0.15534
   -13.51509     0.00000     0.00000     0.00000     0.00000
   -13.51209     0.89279     0.02675     6.12041     0.08176
   -13.50909     4.03484     0.13311    27.27914     0.30041
   -13.50609     8.44261     0.25893    56.57936     0.56665
   -13.50309     4.74397     0.14845    32.38014     0.40399
   -13.50009     3.83611     0.06401    26.31204     0.38852
   -13.49709     2.33174     0.03647    15.86459     0.22642
   -13.49409     1.80663     0.02929    12.22176     0.16703
   -13.49109     1.96097     0.03492    13.11972     0.15282
   -13.48809     2.72690     0.05170    17.92896     0.16280
   -13.48509     2.45674     0.04218    16.03688     0.13226
   -13.48209     2.95559     0.04738    18.98264     0.13589
   -13.47909     5.04116     0.07515    32.24412     0.23043
