  #K-Path    Energy        Mo        Au         S        Si
# Band-Index    1
    0.349  -14.4863     0.082     0.000     0.615     0.016
    0.360  -14.4838     0.083     0.000     0.614     0.016
    0.360  -14.4838     0.083     0.000     0.614     0.016
    0.382  -14.5047     0.081     0.001     0.610     0.017
    0.404  -14.5414     0.081     0.001     0.607     0.016
    0.426  -14.5796     0.085     0.001     0.605     0.015
    0.449  -14.5855     0.083     0.001     0.603     0.014
    0.471  -14.5552     0.085     0.001     0.604     0.014
    0.493  -14.5598     0.090     0.002     0.596     0.012
    0.515  -14.5873     0.091     0.003     0.592     0.012
    0.537  -14.6169     0.090     0.004     0.592     0.011
    0.559  -14.6440     0.090     0.005     0.590     0.012
    0.581  -14.6663     0.093     0.005     0.588     0.011
    0.603  -14.6813     0.089     0.006     0.586     0.011
    0.625  -14.6866     0.090     0.006     0.581     0.011
 
# Band-Index    8
    0.625  -14.3303     0.079     0.000     0.629     0.020
    0.603  -14.3365     0.081     0.000     0.628     0.020
    0.581  -14.3545     0.083     0.000     0.622     0.019
    0.559  -14.3819     0.082     0.000     0.622     0.018
    0.537  -14.4151     0.083     0.000     0.617     0.017
    0.515  -14.4510     0.082     0.000     0.618     0.017
    0.493  -14.4856     0.084     0.000     0.613     0.016
    0.471  -14.4984     0.085     0.000     0.613     0.016
    0.449  -14.4784     0.083     0.001     0.609     0.016
    0.426  -14.4589     0.084     0.001     0.607     0.014
    0.404  -14.4532     0.084     0.000     0.605     0.016
    0.382  -14.4591     0.083     0.001     0.600     0.016
    0.360  -14.4665     0.084     0.001     0.599     0.014
    0.360  -14.4665     0.084     0.001     0.599     0.014
    0.349  -14.4730     0.085     0.001     0.603     0.015
    0.338  -14.4818     0.086     0.001     0.601     0.015
    0.327  -14.4914     0.083     0.001     0.603     0.014
    0.316  -14.5012     0.085     0.001     0.605     0.015
    0.305  -14.5111     0.084     0.001     0.604     0.016
    0.294  -14.5210     0.085     0.000     0.605     0.014
    0.283  -14.5309     0.082     0.000     0.610     0.014
    0.272  -14.5405     0.084     0.000     0.611     0.014
    0.261  -14.5496     0.083     0.000     0.610     0.015
    0.250  -14.5576     0.082     0.000     0.612     0.016
    0.239  -14.5634     0.083     0.000     0.616     0.015
    0.228  -14.5656     0.082     0.000     0.617     0.016
    0.228  -14.5656     0.082     0.000     0.617     0.016
    0.209  -14.5543     0.085     0.000     0.614     0.014
    0.190  -14.5363     0.089     0.000     0.610     0.016
    0.171  -14.5253     0.087     0.001     0.610     0.015
    0.152  -14.5073     0.089     0.002     0.603     0.014
    0.133  -14.4782     0.088     0.002     0.602     0.012
    0.114  -14.4493     0.083     0.001     0.611     0.015
    0.095  -14.4213     0.082     0.001     0.612     0.017
    0.076  -14.3947     0.083     0.000     0.619     0.017
    0.057  -14.3705     0.082     0.000     0.618     0.018
    0.038  -14.3500     0.081     0.000     0.624     0.019
