    # Energy          Mo          Au           S          Si
   -14.63109    -1.31359    -0.01972    -8.96704    -0.23481
   -14.62809    -1.39827    -0.02040    -9.54933    -0.25011
   -14.62509    -1.48296    -0.02105   -10.13160    -0.26539
   -14.62209    -1.56764    -0.02168   -10.71372    -0.28061
   -14.61909    -1.70828    -0.02270   -11.70967    -0.30817
   -14.61609    -1.47909    -0.02028   -10.21952    -0.27286
   -14.61309    -0.63556    -0.01324    -4.28468    -0.10955
   -14.61009    -0.47731    -0.01206    -3.21159    -0.08170
   -14.60709    -0.43502    -0.01137    -2.91850    -0.07375
   -14.60409    -0.39724    -0.01074    -2.65877    -0.06677
   -14.60109    -0.22049    -0.00917    -1.43685    -0.03380
   -14.59809    -0.22448    -0.00920    -1.46372    -0.03445
   -14.59509    -0.22845    -0.00922    -1.49069    -0.03510
   -14.59209    -0.23243    -0.00925    -1.51759    -0.03575
   -14.58909    -0.23640    -0.00927    -1.54447    -0.03640
   -14.58609    -0.24040    -0.00929    -1.57144    -0.03705
   -14.58309    -0.24437    -0.00931    -1.59827    -0.03771
   -14.58009    -0.35971    -0.01004    -2.40933    -0.05964
   -14.57709    -0.40159    -0.01035    -2.70085    -0.06727
   -14.57409    -0.66264    -0.01294    -4.57035    -0.12005
   -14.57109    -0.66514    -0.01271    -4.58726    -0.12024
   -14.56809    -0.79821    -0.01340    -5.52821    -0.14589
   -14.56509    -1.46672    -0.01989   -10.22430    -0.27143
   -14.56209    -1.57468    -0.02129   -10.98170    -0.29187
   -14.55909    -1.95426    -0.02571   -13.58320    -0.35949
   -14.55609    -2.25175    -0.03044   -15.59468    -0.41043
   -14.55309    -2.01527    -0.02840   -13.95517    -0.36667
   -14.55009    -1.80199    -0.02492   -12.49761    -0.32907
   -14.54709    -1.58845    -0.02134   -11.03985    -0.29167
   -14.54409    -1.37470    -0.01765    -9.58288    -0.25436
   -14.54109    -1.19580    -0.01441    -8.36580    -0.22336
   -14.53809    -1.07066    -0.01234    -7.50825    -0.20126
   -14.53509    -0.94558    -0.01030    -6.65060    -0.17912
   -14.53209    -0.77795    -0.00768    -5.49607    -0.14914
   -14.52909    -0.60664    -0.00521    -4.30906    -0.11803
   -14.52609    -0.81805    -0.00530    -5.85172    -0.16121
   -14.52309    -0.63263    -0.00359    -4.55458    -0.12692
   -14.52009    -0.48941    -0.00296    -3.53709    -0.09934
   -14.51709    -0.46013    -0.00285    -3.32585    -0.09347
   -14.51409    -0.58061    -0.00401    -4.17456    -0.11597
   -14.51109    -0.59769    -0.00426    -4.29319    -0.11903
   -14.50809    -0.61476    -0.00451    -4.41192    -0.12207
   -14.50509    -0.63189    -0.00477    -4.53076    -0.12511
   -14.50209    -0.64904    -0.00504    -4.64933    -0.12814
   -14.49909    -0.66828    -0.00537    -4.78388    -0.13160
   -14.49609    -0.69075    -0.00580    -4.94181    -0.13574
   -14.49309    -0.69877    -0.00607    -5.00460    -0.13763
   -14.49009    -0.71771    -0.00649    -5.14192    -0.14141
   -14.48709    -0.77123    -0.00733    -5.51706    -0.15129
   -14.48409    -0.84336    -0.00842    -6.02223    -0.16455
   -14.48109    -0.91232    -0.00949    -6.50571    -0.17726
   -14.47809    -0.91365    -0.00955    -6.51973    -0.17776
   -14.47509    -1.02682    -0.01109    -7.34893    -0.20134
   -14.47209    -1.19462    -0.01279    -8.56206    -0.23533
   -14.46909    -1.29021    -0.01406    -9.24811    -0.25405
   -14.46609    -1.38585    -0.01540    -9.93411    -0.27271
   -14.46309    -1.61520    -0.01846   -11.58818    -0.31824
   -14.46009    -1.58576    -0.01782   -11.41340    -0.31534
   -14.45709    -1.08843    -0.01015    -7.86429    -0.21887
   -14.45409    -0.87585    -0.00631    -6.35093    -0.17790
   -14.45109    -0.73532    -0.00500    -5.34770    -0.15063
   -14.44809    -0.59511    -0.00380    -4.34393    -0.12317
   -14.44509    -0.83664    -0.00393    -6.13722    -0.17544
   -14.44209    -0.23365    -0.00196    -1.72079    -0.04969
   -14.43909    -0.22926    -0.00189    -1.69095    -0.04894
   -14.43609    -0.22488    -0.00182    -1.66104    -0.04819
   -14.43309    -0.22051    -0.00175    -1.63126    -0.04743
   -14.43009    -0.21614    -0.00168    -1.60133    -0.04667
   -14.42709    -0.21177    -0.00162    -1.57152    -0.04591
   -14.42409    -0.22605    -0.00172    -1.68385    -0.04930
   -14.42109    -0.25227    -0.00194    -1.88739    -0.05534
   -14.41809    -0.27364    -0.00203    -2.05911    -0.06068
   -14.41509    -0.29815    -0.00222    -2.25098    -0.06645
   -14.41209    -0.32567    -0.00250    -2.46245    -0.07263
   -14.40909    -0.35323    -0.00279    -2.67341    -0.07880
   -14.40609    -0.42501    -0.00436    -3.21056    -0.09368
   -14.40309    -0.90710    -0.01736    -6.79219    -0.19194
   -14.40009    -1.48057    -0.03066   -11.05894    -0.30967
   -14.39709    -1.71605    -0.03408   -12.81698    -0.35906
   -14.39409    -1.83166    -0.03499   -13.68463    -0.38365
   -14.39109    -1.94640    -0.03565   -14.55463    -0.40871
   -14.38809    -2.10220    -0.03843   -15.69583    -0.43921
   -14.38509    -2.08572    -0.03681   -15.57486    -0.43588
   -14.38209    -2.06481    -0.03501   -15.41790    -0.43137
   -14.37909    -2.00459    -0.03291   -14.96330    -0.41829
   -14.37609    -1.55351    -0.02771   -11.58143    -0.32259
   -14.37309    -1.26367    -0.02289    -9.45502    -0.26527
   -14.37009    -0.92814    -0.01644    -7.01591    -0.20148
   -14.36709    -0.69219    -0.01069    -5.31292    -0.15746
   -14.36409    -0.61249    -0.00893    -4.72317    -0.14128
   -14.36109    -0.54805    -0.00755    -4.24492    -0.12807
   -14.35809    -0.51163    -0.00687    -3.97078    -0.12026
   -14.35509    -0.48016    -0.00628    -3.73481    -0.11362
   -14.35209    -0.46025    -0.00589    -3.58949    -0.10974
   -14.34909    -0.64267    -0.00858    -4.97690    -0.14917
   -14.34609    -0.87348    -0.01196    -6.72956    -0.19874
   -14.34309    -1.17779    -0.01448    -9.02287    -0.26191
   -14.34009    -1.53856    -0.01808   -11.77551    -0.33993
   -14.33709    -1.51710    -0.01977   -11.51584    -0.32684
   -14.33409    -2.04601    -0.02908   -15.37671    -0.42589
   -14.33109    -1.10439    -0.01411    -8.52231    -0.25052
   -14.32809    -1.07727    -0.01321    -8.34981    -0.24740
   -14.32509    -1.07115    -0.01274    -8.32731    -0.24800
   -14.32209    -0.92369    -0.01209    -7.19334    -0.21219
   -14.31909    -0.91729    -0.01172    -7.16349    -0.21210
   -14.31609    -0.99808    -0.01292    -7.79668    -0.23043
   -14.31309    -1.00794    -0.01286    -7.88963    -0.23365
   -14.31009    -1.00970    -0.01272    -7.92163    -0.23499
   -14.30709    -1.13635    -0.01602    -8.90919    -0.26343
   -14.30409    -1.13400    -0.01543    -8.92524    -0.26460
   -14.30109    -1.13164    -0.01487    -8.94148    -0.26568
   -14.29809    -1.12928    -0.01435    -8.95791    -0.26670
   -14.29509    -1.04582    -0.01225    -8.38165    -0.25226
   -14.29209    -1.02902    -0.01145    -8.29626    -0.25066
   -14.28909    -1.02175    -0.01086    -8.28554    -0.25104
   -14.28609    -1.13358    -0.01124    -9.24591    -0.28120
   -14.28309    -1.56266    -0.01440   -12.87642    -0.39173
   -14.28009    -2.39633    -0.03219   -20.18411    -0.57460
   -14.27709    -1.68119    -0.03350   -14.52384    -0.37907
   -14.27409    -1.22886    -0.02315   -10.61430    -0.27869
   -14.27109    -0.90241    -0.02045    -7.66358    -0.19677
   -14.26809    -0.77161    -0.01986    -6.28268    -0.16495
   -14.26509    -1.40823    -0.03562   -11.30640    -0.29769
   -14.26209    -2.15270    -0.05640   -17.38466    -0.45512
   -14.25909    -2.77233    -0.06778   -22.80327    -0.54111
   -14.25609    -4.34884    -0.09906   -36.32011    -0.82265
   -14.25309    -6.32164    -0.13481   -53.77172    -1.14694
   -14.25009    -4.63491    -0.09597   -39.32370    -0.82607
   -14.24709    -1.71513    -0.03472   -14.39812    -0.31104
   -14.24409    -0.38531    -0.00264    -3.19570    -0.08865
   -14.24109    -0.53061    -0.00570    -4.18615    -0.09991
   -14.23809    -2.44954    -0.02909   -20.19073    -0.40454
   -14.23509    -4.81777    -0.06116   -39.90745    -0.83373
   -14.23209    -2.48051    -0.03403   -20.29528    -0.45899
   -14.22909    -1.95728    -0.03038   -16.01424    -0.38058
   -14.22609    -1.43836    -0.02297   -11.73426    -0.29679
   -14.22309    -1.17673    -0.01806    -9.58300    -0.25542
   -14.22009    -1.10606    -0.01690    -9.00301    -0.24698
   -14.21709    -1.05934    -0.01595    -8.62122    -0.24272
   -14.21409    -1.10515    -0.01559    -8.99032    -0.26037
   -14.21109    -2.53221    -0.02147   -20.46165    -0.59960
   -14.20809    -2.75881    -0.02428   -22.34283    -0.66945
   -14.20509    -2.08156    -0.01998   -16.84242    -0.50496
   -14.20209    -1.79151    -0.01734   -14.44753    -0.43019
   -14.19909    -1.16930    -0.01130    -9.33755    -0.27116
   -14.19609    -0.72521    -0.00704    -5.68685    -0.15750
   -14.19309    -0.56911    -0.00565    -4.36926    -0.11586
   -14.19009    -0.58090    -0.00578    -4.43586    -0.11656
   -14.18709    -0.63996    -0.00632    -4.89094    -0.12911
   -14.18409    -0.69903    -0.00685    -5.34653    -0.14167
   -14.18109    -0.86209    -0.00776    -6.71083    -0.18253
   -14.17809    -1.31429    -0.01107   -10.07858    -0.26402
   -14.17509    -1.24944    -0.01027    -9.66099    -0.25723
   -14.17209    -1.19003    -0.00960    -9.29138    -0.25185
   -14.16909    -1.26348    -0.01001    -9.89967    -0.26915
   -14.16609    -1.36673    -0.01056   -10.75230    -0.29272
   -14.16309    -1.71459    -0.01282   -13.58710    -0.37106
   -14.16009    -2.13790    -0.01617   -16.97505    -0.45975
   -14.15709    -1.70230    -0.01307   -13.52970    -0.36564
   -14.15409    -1.67097    -0.01315   -13.23353    -0.35349
   -14.15109    -1.36520    -0.01073   -10.75447    -0.28228
   -14.14809    -1.31534    -0.01048   -10.32669    -0.26701
   -14.14509    -1.12399    -0.00900    -8.82038    -0.22702
   -14.14209    -0.85539    -0.00683    -6.70363    -0.17155
   -14.13909    -0.68464    -0.00550    -5.35989    -0.13643
   -14.13609    -0.67611    -0.00557    -5.30508    -0.13533
   -14.13309    -0.68795    -0.00577    -5.42554    -0.13947
   -14.13009    -0.69790    -0.00592    -5.54667    -0.14444
   -14.12709    -0.19576    -0.00179    -1.54764    -0.03967
   -14.12409     0.00000     0.00000     0.00000     0.00000
   -14.12109    -0.42692    -0.04606    -3.65887    -0.05015
   -14.11809    -1.37181    -0.06706   -11.15063    -0.21717
   -14.11509    -2.07878    -0.08554   -17.67330    -0.39666
   -14.11209    -3.23189    -0.12838   -27.91126    -0.65139
   -14.10909    -4.82749    -0.18200   -41.67303    -0.99230
   -14.10609    -5.44640    -0.19147   -46.91857    -1.12382
   -14.10309    -3.68082    -0.11557   -31.55382    -0.77256
   -14.10009    -1.10730    -0.05312    -9.41624    -0.21666
   -14.09709    -0.78479    -0.03797    -6.68745    -0.15510
   -14.09409    -0.31205    -0.01993    -2.61445    -0.05159
   -14.09109    -0.85053    -0.02434    -7.27161    -0.17370
   -14.08809    -2.36104    -0.05754   -20.11144    -0.50365
   -14.08509    -1.73312    -0.03894   -14.80702    -0.37652
   -14.08209    -1.62362    -0.04173   -13.76836    -0.33830
   -14.07909    -2.23978    -0.06542   -18.86352    -0.45209
   -14.07609    -2.25657    -0.06906   -18.93362    -0.45035
   -14.07309    -2.17973    -0.06295   -18.36766    -0.45171
   -14.07009    -1.61425    -0.04756   -13.60237    -0.33288
   -14.06709    -1.60792    -0.04945   -13.53048    -0.32820
   -14.06409    -1.86252    -0.05930   -15.64273    -0.37225
   -14.06109    -2.07309    -0.08348   -17.36161    -0.38940
   -14.05809    -2.78095    -0.14839   -23.17152    -0.46500
   -14.05509    -2.47725    -0.14769   -20.73828    -0.41189
   -14.05209    -2.78026    -0.15712   -23.31049    -0.46863
   -14.04909    -3.76640    -0.18344   -31.72591    -0.67708
   -14.04609    -3.58539    -0.15631   -30.22294    -0.67162
   -14.04309    -3.95388    -0.16849   -33.39460    -0.74555
   -14.04009    -2.21090    -0.10803   -18.28547    -0.36425
   -14.03709    -1.88771    -0.08929   -15.51172    -0.30981
   -14.03409    -1.06554    -0.05572    -8.75700    -0.16442
   -14.03109    -0.83850    -0.04284    -6.85787    -0.12699
   -14.02809    -0.64063    -0.03233    -5.20721    -0.09438
   -14.02509    -0.57391    -0.02829    -4.65021    -0.08381
   -14.02209    -0.50711    -0.02413    -4.09361    -0.07334
   -14.01909    -0.46958    -0.02231    -3.78068    -0.06706
   -14.01609    -0.45460    -0.02215    -3.65450    -0.06397
   -14.01309    -1.01998    -0.06676    -8.34342    -0.16237
   -14.01009    -1.97622    -0.11770   -16.00282    -0.32529
   -14.00709    -8.19341    -0.50442   -67.65224    -1.51292
   -14.00409    -5.27165    -0.20280   -43.69799    -1.06110
   -14.00109    -3.16426    -0.17136   -25.89417    -0.56582
   -13.99809    -2.96137    -0.16562   -24.18033    -0.51994
   -13.99509    -2.22776    -0.10933   -18.12458    -0.39570
   -13.99209    -1.78455    -0.08490   -14.51233    -0.31949
   -13.98909    -1.77327    -0.07747   -14.36008    -0.31706
   -13.98609    -1.23542    -0.05459    -9.95315    -0.19901
   -13.98309    -0.86343    -0.02991    -6.81523    -0.10235
   -13.98009     0.00000     0.00000     0.00000     0.00000
   -13.97709    -0.33871    -0.00653    -2.64491    -0.05199
   -13.97409    -0.97317    -0.01836    -7.60473    -0.15159
   -13.97109    -1.06034    -0.01996    -8.29980    -0.16886
   -13.96809    -1.43944    -0.04137   -11.33200    -0.22915
   -13.96509    -3.60848    -0.20605   -28.85816    -0.55524
   -13.96209    -1.61769    -0.05539   -12.70938    -0.24799
   -13.95909    -1.61096    -0.04846   -12.60190    -0.24590
   -13.95609    -1.81462    -0.04391   -14.07609    -0.27405
   -13.95309    -2.20025    -0.04451   -16.97616    -0.33148
   -13.95009    -2.56969    -0.04594   -19.71477    -0.38212
   -13.94709    -2.36668    -0.04601   -17.93292    -0.33116
   -13.94409    -2.46103    -0.04479   -18.53302    -0.34070
   -13.94109    -3.02106    -0.05789   -22.64262    -0.41312
   -13.93809    -4.02590    -0.10275   -30.56575    -0.56902
   -13.93509    -3.07946    -0.17202   -25.20960    -0.51926
   -13.93209    -1.01573    -0.04479    -8.09284    -0.15531
   -13.92909    -1.03378    -0.04653    -8.22600    -0.15351
   -13.92609    -1.09208    -0.04904    -8.67991    -0.15966
   -13.92309    -1.16290    -0.05248    -9.23681    -0.16716
   -13.92009    -1.36571    -0.06388   -10.86418    -0.19002
   -13.91709    -1.53303    -0.07577   -12.21856    -0.20609
   -13.91409    -1.26342    -0.06411   -10.05294    -0.16884
   -13.91109    -1.53543    -0.07719   -12.19772    -0.20003
   -13.90809    -1.40842    -0.07278   -11.17269    -0.18148
   -13.90509    -1.26742    -0.06711   -10.04226    -0.16216
   -13.90209    -1.25090    -0.07148    -9.92038    -0.16587
   -13.89909    -1.17753    -0.06977    -9.31581    -0.15462
   -13.89609    -1.17243    -0.07041    -9.26449    -0.15343
   -13.89309    -1.17179    -0.07129    -9.25014    -0.15259
   -13.89009    -1.14951    -0.07078    -9.05753    -0.14827
   -13.88709    -1.13131    -0.07057    -8.89837    -0.14457
   -13.88409    -1.12162    -0.07095    -8.80669    -0.14216
   -13.88109    -1.11851    -0.07194    -8.74142    -0.13760
   -13.87809    -1.12162    -0.07264    -8.72198    -0.13414
   -13.87509    -1.14821    -0.07424    -8.90257    -0.13524
   -13.87209    -1.19869    -0.07707    -9.25959    -0.13823
   -13.86909    -1.20289    -0.07778    -9.27912    -0.13724
   -13.86609    -1.21053    -0.07855    -9.32466    -0.13690
   -13.86309    -1.21586    -0.07906    -9.35657    -0.13669
   -13.86009    -1.59214    -0.09884   -12.10802    -0.16510
   -13.85709    -1.30888    -0.08465   -10.02192    -0.14506
   -13.85409    -0.90450    -0.06735    -7.04966    -0.10901
   -13.85109    -0.96595    -0.07153    -7.51546    -0.11570
   -13.84809    -1.02760    -0.07568    -7.98086    -0.12239
   -13.84509    -1.22272    -0.08817    -9.44427    -0.14188
   -13.84209    -1.60327    -0.11318   -12.28881    -0.17916
   -13.83909    -2.21864    -0.15197   -16.85876    -0.23680
   -13.83609    -2.62645    -0.17822   -19.90372    -0.27497
   -13.83309    -1.85913    -0.13796   -14.33853    -0.20924
   -13.83009    -2.36255    -0.14088   -17.86660    -0.22679
   -13.82709    -1.89504    -0.11175   -14.35471    -0.17684
   -13.82409    -1.87691    -0.10967   -14.23763    -0.17493
   -13.82109    -1.68314    -0.09418   -12.75940    -0.15040
   -13.81809    -2.46347    -0.14153   -18.73593    -0.21643
   -13.81509    -0.81535    -0.03336    -6.16959    -0.06535
   -13.81209    -1.14442    -0.05546    -8.75833    -0.10127
   -13.80909    -2.86040    -0.17805   -22.01166    -0.29630
   -13.80609    -1.66542    -0.08624   -12.76149    -0.16582
   -13.80309    -1.71740    -0.08398   -13.13948    -0.17285
   -13.80009    -1.83659    -0.08607   -14.02119    -0.18712
   -13.79709    -1.90826    -0.08726   -14.54372    -0.19505
   -13.79409    -2.20592    -0.10365   -16.77104    -0.22851
   -13.79109    -2.62391    -0.09400   -19.62683    -0.27413
   -13.78809    -3.99825    -0.11471   -29.65559    -0.42094
   -13.78509    -2.58056    -0.06386   -18.92172    -0.27346
   -13.78209    -0.46460    -0.00435    -3.32255    -0.04758
   -13.77909     0.00000     0.00000     0.00000     0.00000
   -13.77609    -2.63013    -0.06660   -19.15725    -0.27558
   -13.77309    -7.29605    -0.35582   -54.08567    -0.86145
   -13.77009    -3.95488    -0.17707   -29.34652    -0.47804
   -13.76709    -2.88874    -0.11295   -21.33684    -0.34892
   -13.76409    -3.09493    -0.13262   -22.50728    -0.33203
   -13.76109    -4.97266    -0.21301   -35.86614    -0.50576
   -13.75809    -3.65594    -0.16213   -26.31515    -0.35617
   -13.75509    -2.42727    -0.12693   -17.60081    -0.23191
   -13.75209    -1.31274    -0.06947    -9.53663    -0.12713
   -13.74909    -0.27562    -0.01376    -1.99411    -0.02697
   -13.74609     0.00000     0.00000     0.00000     0.00000
   -13.74309     0.00000     0.00000     0.00000     0.00000
   -13.74009    -0.17369    -0.00373    -1.22873    -0.01380
   -13.73709    -0.43167    -0.00922    -3.04778    -0.03444
   -13.73409    -1.16478    -0.03245    -8.18679    -0.09902
   -13.73109    -3.33119    -0.08969   -23.21359    -0.28928
   -13.72809    -4.16609    -0.11101   -29.33488    -0.39893
   -13.72509    -2.69521    -0.08913   -19.03428    -0.25785
   -13.72209    -2.11429    -0.05668   -14.99543    -0.20611
   -13.71909    -2.17543    -0.05934   -15.50547    -0.21395
   -13.71609    -2.17271    -0.05772   -15.45268    -0.21159
   -13.71309    -2.59621    -0.06336   -18.36596    -0.24438
   -13.71009    -3.88182    -0.08792   -27.31815    -0.34788
   -13.70709    -1.71344    -0.05953   -12.19209    -0.16804
   -13.70409    -1.39471    -0.05520   -10.04433    -0.14692
