#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS:  39 440
# Band-Index    1
   0.20942    -14.598221    -14.598123
   0.22846    -14.607313    -14.607217
   0.22846    -14.607313    -14.607217
   0.23946    -14.602121    -14.602027
   0.25045    -14.591182    -14.591089
   0.26145    -14.578610    -14.578518
   0.27245    -14.565607    -14.565516
   0.28344    -14.552589    -14.552498
   0.29444    -14.539776    -14.539685
   0.30544    -14.527341    -14.527250
   0.31643    -14.515459    -14.515368
   0.32743    -14.504352    -14.504260
   0.33843    -14.494361    -14.494268
   0.34942    -14.486348    -14.486253
   0.36042    -14.483903    -14.483803
   0.36042    -14.483903    -14.483803
   0.38245    -14.504830    -14.504734
   0.40447    -14.541537    -14.541444
   0.42650    -14.579657    -14.579567
   0.44852    -14.585552    -14.585461
   0.47055    -14.555310    -14.555215
   0.49258    -14.559887    -14.559779
   0.51460    -14.587427    -14.587313
   0.53663    -14.616975    -14.616857
   0.55865    -14.644115    -14.643992
   0.58068    -14.666415    -14.666287
   0.60271    -14.681407    -14.681275
   0.62473    -14.686754    -14.686621
 
# Band-Index    8
   0.62473    -14.330432    -14.330324
   0.60271    -14.336607    -14.336500
   0.58068    -14.354618    -14.354514
   0.55865    -14.381983    -14.381882
   0.53663    -14.415149    -14.415050
   0.51460    -14.451147    -14.451048
   0.49258    -14.485688    -14.485586
   0.47055    -14.498479    -14.498369
   0.44852    -14.478510    -14.478403
   0.42650    -14.458955    -14.458853
   0.40447    -14.453302    -14.453204
   0.38245    -14.459187    -14.459093
   0.36042    -14.466580    -14.466488
   0.36042    -14.466580    -14.466488
   0.34942    -14.473101    -14.473008
   0.33843    -14.481910    -14.481817
   0.32743    -14.491463    -14.491370
   0.31643    -14.501265    -14.501172
   0.30544    -14.511173    -14.511080
   0.29444    -14.521113    -14.521021
   0.28344    -14.530990    -14.530898
   0.27245    -14.540630    -14.540539
   0.26145    -14.549723    -14.549633
   0.25045    -14.557691    -14.557602
   0.23946    -14.563498    -14.563410
   0.22846    -14.565702    -14.565615
   0.22846    -14.565702    -14.565615
   0.20942    -14.554379    -14.554291
   0.19038    -14.536350    -14.536260
   0.17134    -14.525384    -14.525290
   0.15231    -14.507418    -14.507321
   0.13327    -14.478301    -14.478203
   0.11423    -14.449376    -14.449277
   0.09519    -14.421370    -14.421270
   0.07615    -14.394844    -14.394743
   0.05711    -14.370623    -14.370521
   0.03808    -14.350125    -14.350021
