    # Energy          Mo           S          Si
   -14.36221    -0.98310    -4.90815    -0.00023
   -14.35921    -0.99144    -4.95128    -0.00023
   -14.35621    -0.99978    -4.99405    -0.00023
   -14.35321    -1.00810    -5.03722    -0.00024
   -14.35021    -1.01642    -5.08035    -0.00024
   -14.34721    -1.02476    -5.12336    -0.00024
   -14.34421    -1.30897    -6.55037    -0.00031
   -14.34121    -1.21345    -6.07593    -0.00028
   -14.33821    -1.16018    -5.81142    -0.00027
   -14.33521    -1.10732    -5.54900    -0.00026
   -14.33221    -1.14659    -5.74982    -0.00027
   -14.32921    -1.21370    -6.08924    -0.00028
   -14.32621    -1.28075    -6.42893    -0.00030
   -14.32321    -1.20843    -6.07024    -0.00028
   -14.32021    -1.28143    -6.43853    -0.00030
   -14.31721    -1.35438    -6.80822    -0.00031
   -14.31421    -1.42736    -7.17672    -0.00033
   -14.31121    -1.50032    -7.54572    -0.00035
   -14.30821    -1.20357    -6.05596    -0.00028
   -14.30521    -1.21362    -6.10878    -0.00028
   -14.30221    -1.22416    -6.16364    -0.00028
   -14.29921    -1.23466    -6.21791    -0.00028
   -14.29621    -1.25773    -6.33663    -0.00029
   -14.29321    -1.27864    -6.44359    -0.00029
   -14.29021    -1.28991    -6.50288    -0.00030
   -14.28721    -1.30376    -6.57541    -0.00030
   -14.28421    -1.31760    -6.64804    -0.00030
   -14.28121    -1.05653    -5.33228    -0.00024
   -14.27821    -0.99841    -5.04091    -0.00023
   -14.27521    -0.94034    -4.74977    -0.00022
   -14.27221    -0.88051    -4.44940    -0.00020
   -14.26921    -0.82062    -4.14897    -0.00019
   -14.26621    -0.49387    -2.49685    -0.00011
   -14.26321    -0.46994    -2.37714    -0.00011
   -14.26021    -0.44604    -2.25732    -0.00010
   -14.25721    -0.42210    -2.13754    -0.00010
   -14.25421    -0.39820    -2.01771    -0.00009
   -14.25121    -0.37429    -1.89794    -0.00008
   -14.24821    -0.38208    -1.93805    -0.00009
   -14.24521    -0.39109    -1.98439    -0.00009
   -14.24221    -0.65913    -3.34917    -0.00015
   -14.23921    -0.81516    -4.14436    -0.00018
   -14.23621    -0.97121    -4.93939    -0.00022
   -14.23321    -1.04742    -5.32868    -0.00024
   -14.23021    -0.97597    -4.96624    -0.00022
   -14.22721    -0.90449    -4.60332    -0.00020
   -14.22421    -0.83304    -4.24051    -0.00019
   -14.22121    -0.77563    -3.95102    -0.00017
   -14.21821    -0.74399    -3.79400    -0.00017
   -14.21521    -0.71630    -3.65661    -0.00016
   -14.21221    -0.68894    -3.52052    -0.00015
   -14.20921    -0.68922    -3.52454    -0.00015
   -14.20621    -0.70096    -3.58657    -0.00016
   -14.20321    -0.70063    -3.58836    -0.00016
   -14.20021    -1.03109    -5.28200    -0.00023
   -14.19721    -1.14052    -5.84376    -0.00025
   -14.19421    -1.22545    -6.28002    -0.00027
   -14.19121    -1.15449    -5.91822    -0.00026
   -14.18821    -1.37205    -7.03568    -0.00030
   -14.18521    -1.32521    -6.79796    -0.00029
   -14.18221    -1.27841    -6.56003    -0.00028
   -14.17921    -1.23163    -6.32230    -0.00027
   -14.17621    -1.18481    -6.08447    -0.00026
   -14.17321    -1.14108    -5.86265    -0.00025
   -14.17021    -1.15765    -5.94901    -0.00025
   -14.16721    -1.17423    -6.03603    -0.00026
   -14.16421    -1.19077    -6.12338    -0.00026
   -14.16121    -1.18664    -6.10392    -0.00026
   -14.15821    -1.15903    -5.96340    -0.00025
   -14.15521    -2.09597   -10.79234    -0.00046
   -14.15221    -1.87240    -9.64569    -0.00041
   -14.14921    -0.98228    -5.06264    -0.00021
   -14.14621    -0.96062    -4.95262    -0.00021
   -14.14321    -0.93895    -4.84240    -0.00020
   -14.14021    -0.91733    -4.73220    -0.00020
   -14.13721    -0.89566    -4.62191    -0.00020
   -14.13421    -0.87404    -4.51189    -0.00019
   -14.13121    -0.84277    -4.35372    -0.00018
   -14.12821    -0.85612    -4.42454    -0.00019
   -14.12521    -0.92764    -4.79647    -0.00020
   -14.12221    -0.95195    -4.92425    -0.00021
   -14.11921    -0.97627    -5.05209    -0.00021
   -14.11621    -1.00060    -5.17996    -0.00022
   -14.11321    -1.02493    -5.30777    -0.00022
   -14.11021    -1.04924    -5.43520    -0.00023
   -14.10721    -1.09698    -5.68630    -0.00024
   -14.10421    -1.18107    -6.12543    -0.00025
   -14.10121    -1.21393    -6.29768    -0.00026
   -14.09821    -1.22917    -6.37814    -0.00026
   -14.09521    -1.24443    -6.45840    -0.00027
   -14.09221    -1.25549    -6.55721    -0.00028
   -14.08921    -1.09163    -5.74482    -0.00025
   -14.08621    -1.09854    -5.80390    -0.00026
   -14.08321    -1.09806    -5.81708    -0.00026
   -14.08021    -1.09115    -5.79531    -0.00026
   -14.07721    -1.07339    -5.71708    -0.00026
   -14.07421    -1.03372    -5.53173    -0.00026
   -14.07121    -0.98717    -5.31353    -0.00025
   -14.06821    -0.94053    -5.09488    -0.00025
   -14.06521    -0.89569    -4.88593    -0.00025
   -14.06221    -0.89783    -4.91824    -0.00025
   -14.05921    -0.90563    -4.97987    -0.00026
   -14.05621    -0.92100    -5.08066    -0.00027
   -14.05321    -0.94904    -5.24777    -0.00028
   -14.05021    -1.10611    -6.11750    -0.00032
   -14.04721    -1.11221    -6.16765    -0.00033
   -14.04421    -1.11828    -6.21740    -0.00033
   -14.04121    -1.12434    -6.26754    -0.00034
