    # Energy          Mo           S          Si
   -14.44921     1.04217     5.13436     0.00025
   -14.44621     1.01851     5.01950     0.00024
   -14.44321     0.99478     4.90473     0.00024
   -14.44021     0.98164     4.84180     0.00024
   -14.43721     0.97151     4.79396     0.00023
   -14.43421     0.96141     4.74634     0.00023
   -14.43121     0.93262     4.60768     0.00022
   -14.42821     0.92185     4.55681     0.00022
   -14.42521     0.91163     4.50791     0.00022
   -14.42221     0.90139     4.45915     0.00022
   -14.41921     0.89111     4.41032     0.00021
   -14.41621     0.88091     4.36141     0.00021
   -14.41321     0.87063     4.31254     0.00021
   -14.41021     0.86024     4.26277     0.00020
   -14.40721     0.84814     4.20447     0.00020
   -14.40421     0.84196     4.17551     0.00020
   -14.40121     0.84231     4.17938     0.00020
   -14.39821     0.84442     4.19176     0.00020
   -14.39521     0.85898     4.26617     0.00020
   -14.39221     0.87355     4.34055     0.00021
   -14.38921     0.88812     4.41499     0.00021
   -14.38621     0.90021     4.47745     0.00021
   -14.38321     0.91220     4.53945     0.00022
   -14.38021     0.92420     4.60149     0.00022
   -14.37721     0.93559     4.66035     0.00022
   -14.37421     0.95746     4.77274     0.00023
   -14.37121     0.96333     4.80397     0.00023
   -14.36821     0.96919     4.83510     0.00023
   -14.36521     0.97502     4.86625     0.00023
   -14.36221     0.98309     4.90803     0.00023
   -14.35921     0.99140     4.95092     0.00023
   -14.35621     0.99974     4.99390     0.00023
   -14.35321     1.00807     5.03696     0.00024
   -14.35021     1.01637     5.08018     0.00024
   -14.34721     1.02470     5.12315     0.00024
   -14.34421     1.30950     6.55274     0.00031
   -14.34121     1.21376     6.07767     0.00028
   -14.33821     1.16042     5.81279     0.00027
   -14.33521     1.10758     5.55082     0.00026
   -14.33221     1.14624     5.74775     0.00027
   -14.32921     1.21336     6.08739     0.00028
   -14.32621     1.28039     6.42709     0.00030
   -14.32321     1.20806     6.06769     0.00028
   -14.32021     1.28106     6.43739     0.00030
   -14.31721     1.35403     6.80618     0.00031
   -14.31421     1.42698     7.17507     0.00033
   -14.31121     1.49994     7.54438     0.00035
   -14.30821     1.20350     6.05575     0.00028
   -14.30521     1.21359     6.10837     0.00028
   -14.30221     1.22411     6.16304     0.00028
   -14.29921     1.23463     6.21780     0.00028
   -14.29621     1.25763     6.33542     0.00029
   -14.29321     1.27858     6.44328     0.00029
   -14.29021     1.28979     6.50257     0.00030
   -14.28721     1.30367     6.57520     0.00030
   -14.28421     1.31749     6.64733     0.00030
   -14.28121     1.05682     5.33367     0.00024
   -14.27821     0.99873     5.04238     0.00023
   -14.27521     0.94065     4.75120     0.00022
   -14.27221     0.88080     4.45100     0.00020
   -14.26921     0.82096     4.15052     0.00019
   -14.26621     0.49399     2.49750     0.00011
   -14.26321     0.47008     2.37777     0.00011
   -14.26021     0.44615     2.25800     0.00010
   -14.25721     0.42225     2.13819     0.00010
